wtc_code,faster_track,slower_track,delta_rhythm_tempo_Mean,faster_rhythm_tempo_Mean,slower_rhythm_tempo_Mean,delta_notedensity_per_s,faster_notedensity_per_s,slower_notedensity_per_s,delta_dynamics_rms_Mean,faster_dynamics_rms_Mean,slower_dynamics_rms_Mean,delta_simple_brightness_Mean,faster_simple_brightness_Mean,slower_simple_brightness_Mean,delta_pitch_mean,faster_pitch_mean,slower_pitch_mean,delta_duration_mean_s,faster_duration_mean_s,slower_duration_mean_s,delta_istc_mean_max_unique_per_sec,faster_istc_mean_max_unique_per_sec,slower_istc_mean_max_unique_per_sec,delta_emotion_happy,faster_emotion_happy,slower_emotion_happy,delta_emotion_sad,faster_emotion_sad,slower_emotion_sad,delta_emotion_calm,faster_emotion_calm,slower_emotion_calm,delta_emotion_energetic,faster_emotion_energetic,slower_emotion_energetic
wtc1f03,track9,track8,37.132193062948005,157.440181166384,120.307988103436,-1.5550690073509603,9.90319877481434,11.4582677821653,-0.038000422788189936,0.885511928871455,0.923512351659645,0.037157535496853994,0.148399124631772,0.111241589134918,-0.020748067275597748,63.3170048985304,63.337752965806,0.03718768330524,0.191172439934688,0.153984756629448,0.2134488028527768,7.059602649006623,6.846153846153846,0.3788103566909258,3.2217122793800823,2.8429019226891565,-0.12260054097911754,1.791958041958042,1.9145585829371596,-0.03189373606187562,2.5456398436264207,2.5775335796882963,-0.022996334945692087,2.97591723539645,2.998913570342142
wtc1f05,track21,track16,7.974509654141997,118.871133629973,110.896623975831,-1.5922981014989706,6.09572676982294,7.68802487132191,-0.07305210468474499,0.827858830694277,0.900910935379022,0.05800192549178798,0.169801432700266,0.111799507208478,-0.492458951475399,62.2900378310214,62.7824967824968,0.13159268683089903,0.391317255149215,0.259724568318316,-1.1978087254966674,5.618705035971223,6.81651376146789,-0.3393583686794863,2.5747469275010344,2.9141052961805207,0.3503496060950382,2.345656390274346,1.995306784179308,0.4760906849370441,2.9724370693292084,2.4963463843921643,-0.24198968446611913,2.825466667905026,3.067456352371145
wtc1p04,track12,track6,16.305300230616993,127.925555008647,111.62025477803,-0.4790021361861001,4.3486177417564,4.8276198779425,0.042558940503487075,0.91623045702365,0.873671516520163,0.0005949891754220005,0.116633622922048,0.116038633746626,-0.1447201548576018,63.6295180722892,63.7742382271468,0.33732478172733005,0.94639103288153,0.6090662511542,0.6221080747893986,5.286624203821656,4.664516129032258,-0.14849388405500097,2.2358981871631554,2.3843920712181563,0.5949424826926402,3.140661275751901,2.545718793059261,0.2122037407364088,3.4040094880070826,3.191805747270674,-0.029919843545516578,2.1727979197738656,2.202717763319382
wtc1p17,track14,track24,0.7451008000159902,113.846084341664,113.100983541648,0.9013811516522203,10.2490566037736,9.34767545212138,-0.025501846174317944,0.867739341842776,0.893241188017094,0.06087012900819902,0.214418024478562,0.153547895470363,-0.07503501400559998,62.3029411764706,62.3779761904762,0.027664848491480015,0.151901424632353,0.124236576140873,0.8558975271304039,7.726027397260274,6.87012987012987,0.5815121703611923,3.4903221032328338,2.9088099328716415,-0.3151211333752326,1.3093449321207329,1.6244660654959655,-0.5392625820083101,1.9597153024911032,2.4989778844994133,0.1294725203239988,3.1344225169847943,3.0049499966607955
wtc2f06,track4,track3,2.1552023789729873,123.883915101728,121.728712722755,0.25461313184194,7.16077664478289,6.90616351294095,0.007267384970545021,0.877429340471768,0.870161955501223,0.0058455890024650126,0.13921928674826,0.133373697745795,0.001953813838404983,61.8129675810474,61.811013767209,0.03623713940794199,0.356827982128008,0.320590842720066,-1.8342369205746811,6.310924369747899,8.14516129032258,-0.1172706118595852,2.297791549504218,2.415062161363803,0.14459005380453416,2.6259946949602124,2.4814046411556783,0.16661372070487568,2.8318204211812854,2.6652067004764097,-0.07369592989782703,2.6189437332615744,2.6926396631594014
wtc2f07,track17,track22,3.6078469427980053,132.744514994658,129.13666805186,-1.8541948367075207,6.32840041654336,8.18259525325088,-0.03413705230044206,0.853485756679423,0.887622808979865,0.014399126588254013,0.141491615004114,0.12709248841586,-0.0290298973820029,62.5817655571635,62.6107954545455,0.18016907950793098,0.462397491558121,0.28222841205019,-0.7157953281423808,6.155172413793103,6.870967741935484,0.08992192058034787,2.4434271411215795,2.3535052205412317,0.836781040678511,2.6885815946951315,1.8518005540166205,-0.03481122745172227,3.020803517913716,3.055614745365438,0.08519495633151752,2.437003488298471,2.3518085319669533
wtc2p01,track18,track5,4.30580107579199,108.418812884376,104.113011808584,0.3616374324294904,5.95376540222614,5.59212796979665,0.02257892198774092,0.888473141589252,0.865894219601511,-0.04140453828367999,0.241899179416088,0.283303717699768,-0.03655336600289871,61.8776978417266,61.9142512077295,-0.14623693255540504,0.557953637090327,0.704190569645732,0.8887887527036771,6.8493150684931505,5.9605263157894735,0.3033489293642395,2.7661840209439936,2.462835091579754,-0.3855449807277145,2.21039970392302,2.5959446846507346,0.2008784241366599,2.970421416234887,2.769542992098227,0.09002338330587456,2.6341139461900167,2.544090562884142
wtc2p24,track20,track7,7.268403873617004,117.337631892261,110.069228018644,0.6722295217876404,6.90321122593636,6.23098170414872,0.039202212032367956,0.924875317629147,0.885673105596779,-0.070941207898602,0.10723986271948,0.178181070618082,-0.24202835047579896,62.4235159817352,62.665544332211,-0.09005131000677702,0.259719546708524,0.349770856715301,1.3339184305627256,8.092307692307692,6.758389261744966,-0.002518742751750125,2.6545338441890163,2.6570525869407664,-0.17310735226369367,2.1114277097695044,2.284535062033198,-0.44819886690162924,2.562212172246384,3.0104110391480132,0.13725229386008042,2.9393523152671306,2.80210002140705
