target,feature,n_pieces_within_piece_tests,median_piece_spearman_rho,n_positive_pieces,n_negative_pieces,fisher_stat,fisher_p,global_spearman_rho,global_fdr_q,fisher_fdr_q
optimizer_peak_coverage_70ms,note_onset_density_per_s,9,0.05124633217203105,5,4,40.75471867430098,0.0016455321005585575,0.058496330102545,,0.0017230702623649817
optimizer_peak_coverage_70ms,onset_strength_std,9,-0.007130319871502398,4,5,39.998981088369014,0.002087925860058067,-0.0325323562182879,,0.00217492277089382
optimizer_peak_coverage_70ms,mtb_duration_std_s,9,0.04668373659207197,6,3,39.54578213627293,0.002405614254955212,-0.0605393334409954,,0.002492864512906955
optimizer_peak_coverage_70ms,mtb_ioi_mean_s,9,-0.07713142039610557,1,8,33.13321363763495,0.01608145060661319,-0.0898062804910182,,0.016578815058364112
optimizer_peak_coverage_70ms,mean_midi_ioi_s,9,-0.075613210172887,1,8,32.88587378897705,0.017228953496778308,-0.0896216515136956,,0.01767072153515724
optimizer_peak_density_per_s,mtb_approx_polyphony,10,0.036485253804648315,7,3,33.18565803174744,0.032190977648531294,0.0495299493103358,,0.03284793637605234
optimizer_peak_density_per_s,approx_polyphony,10,0.03000411357087711,8,2,32.570042706454394,0.037590266253485057,0.047439277665758,,0.03816270685633001
optimizer_beat_density_per_s,mir_roughness,10,0.006882653432766908,5,5,31.882216611814396,0.044569642400961076,0.0341096838122544,,0.045019840809051595
optimizer_beat_density_per_s,mtb_pitch_std,10,0.0012618402016051225,5,5,26.532310572487766,0.14894216900976123,0.0313449263095955,,0.14969062212036305
optimizer_beat_density_per_s,std_pitch,10,0.0004913646491409968,5,5,20.608350946463375,0.42049805464132517,0.0299165167363342,,0.42049805464132517
