target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
tap_count_100ms,audio100_spectral_bandwidth_hz,24816,-0.0807312710291459,3.644005532133337e-37,-0.0475189113322031,6.910863260856441e-14,6.910863260856441e-13,0.0475189113322031
tap_count_100ms,audio100_zero_crossing_rate,24816,0.0017365745157029,0.7844299569107763,0.033511233791357,1.289912019002585e-07,6.449560095012925e-07,0.033511233791357
tap_count_100ms,audio100_onset_strength_proxy,24816,0.0124231690848274,0.0503462276721745,0.0320357048311229,4.472629122557153e-07,1.4908763741857175e-06,0.0320357048311229
tap_count_100ms,audio100_rms,24816,0.0331421836031663,1.769138776847159e-07,0.0195258028017006,0.0020975806717305,0.0052439516793264,0.0195258028017006
tap_count_100ms,mir100_rms,24792,0.0320348691796749,4.533247362034194e-07,0.0183399991587889,0.0038792507561334,0.0077585015122669,0.0183399991587889
tap_count_100ms,mir100_centroid,24705,-0.0513247056431272,6.913386198215312e-16,-0.0133198931360211,0.0362970246178547,0.0604950410297578,0.0133198931360211
tap_count_100ms,mir100_roughness,24792,0.0007566027983811,0.9051765472857948,0.0114721991927293,0.0708682640519443,0.0982021726143657,0.0114721991927293
tap_count_100ms,audio100_spectral_centroid_hz,24816,-0.0602156130122986,2.2242021632919557e-21,-0.0111668636086686,0.0785617380914925,0.0982021726143657,0.0111668636086686
tap_count_100ms,mir100_brightness,24705,-0.0107557322150605,0.0909265189802589,0.001072221904334,0.866173049947059,0.9472505798218224,0.001072221904334
tap_count_100ms,audio100_spectral_rolloff_hz,24816,-0.053710681350147,2.522701309650552e-17,0.0004200010057862,0.9472505798218224,0.9472505798218224,0.0004200010057862
