stim_name,wtc_code,peak_index,filtered_kde_peak_s
track11,wtc1p15,46,22.09
track11,wtc1p15,47,22.405
track11,wtc1p15,48,22.765
track11,wtc1p15,49,23.080000000000002
track11,wtc1p15,50,23.7
track11,wtc1p15,51,24.045
track11,wtc1p15,52,24.325
track11,wtc1p15,53,24.68
track11,wtc1p15,54,24.98
track11,wtc1p15,55,25.285
track11,wtc1p15,56,25.595
track11,wtc1p15,57,25.92
track11,wtc1p15,58,26.265
track11,wtc1p15,59,26.555
track11,wtc1p15,60,26.855
track11,wtc1p15,61,27.17
track11,wtc1p15,62,27.490000000000002
track11,wtc1p15,63,27.810000000000002
track11,wtc1p15,64,28.18
track11,wtc1p15,65,28.48
track11,wtc1p15,66,28.805
track11,wtc1p15,67,29.465
track11,wtc1p15,68,29.79
track12,wtc1p04,1,1.125
track12,wtc1p04,2,2.015
track12,wtc1p04,3,3.4
track12,wtc1p04,4,3.71
track12,wtc1p04,5,4.025
track12,wtc1p04,6,4.585
track12,wtc1p04,7,4.905
track12,wtc1p04,8,5.505
track12,wtc1p04,9,6.45
track12,wtc1p04,10,6.795
track12,wtc1p04,11,7.4
track12,wtc1p04,12,8.025
track12,wtc1p04,13,8.295
track12,wtc1p04,14,8.615
track12,wtc1p04,15,9.175
track12,wtc1p04,16,9.49
track12,wtc1p04,17,9.83
track12,wtc1p04,18,10.105
track12,wtc1p04,19,10.46
track12,wtc1p04,20,11.005
track12,wtc1p04,21,11.595
track12,wtc1p04,22,11.885
track12,wtc1p04,23,12.200000000000001
track12,wtc1p04,24,12.825000000000001
track12,wtc1p04,25,13.095
track12,wtc1p04,26,13.565
track12,wtc1p04,27,14.175
track12,wtc1p04,28,14.755
track12,wtc1p04,29,15.290000000000001
track12,wtc1p04,30,15.925
track12,wtc1p04,31,16.505
track12,wtc1p04,32,16.89
track12,wtc1p04,33,17.21
track12,wtc1p04,34,17.8
track12,wtc1p04,35,18.325
track12,wtc1p04,36,18.990000000000002
track12,wtc1p04,37,19.46
track12,wtc1p04,38,20.225
track12,wtc1p04,39,20.845
track12,wtc1p04,40,21.44
track12,wtc1p04,41,22.055
track12,wtc1p04,42,22.650000000000002
track12,wtc1p04,43,23.365000000000002
track12,wtc1p04,44,24.135
track12,wtc1p04,45,24.725
track12,wtc1p04,46,25.310000000000002
track12,wtc1p04,47,25.94
track12,wtc1p04,48,26.52
track12,wtc1p04,49,27.21
track12,wtc1p04,50,27.895
track12,wtc1p04,51,28.59
track12,wtc1p04,52,29.185000000000002
track12,wtc1p04,53,29.815
track13,wtc1p15,1,1.56
track13,wtc1p15,2,2.84
track13,wtc1p15,3,4.14
track13,wtc1p15,4,4.46
track13,wtc1p15,5,4.775
track13,wtc1p15,6,5.14
track13,wtc1p15,7,5.7250000000000005
track13,wtc1p15,8,6.425
track13,wtc1p15,9,6.88
track13,wtc1p15,10,7.71
track13,wtc1p15,11,8.33
track13,wtc1p15,12,8.945
track13,wtc1p15,13,9.63
track13,wtc1p15,14,10.3
track13,wtc1p15,15,10.625
track13,wtc1p15,16,10.965
track13,wtc1p15,17,11.595
track13,wtc1p15,18,12.26
track13,wtc1p15,19,12.91
track13,wtc1p15,20,13.25
track13,wtc1p15,21,13.59
track13,wtc1p15,22,13.9
track13,wtc1p15,23,14.235
track13,wtc1p15,24,14.58
track13,wtc1p15,25,14.9
track13,wtc1p15,26,15.24
track13,wtc1p15,27,15.545
track13,wtc1p15,28,15.915000000000001
track13,wtc1p15,29,16.215
track13,wtc1p15,30,16.85
track13,wtc1p15,31,17.575
track13,wtc1p15,32,18.035
track13,wtc1p15,33,18.43
track13,wtc1p15,34,18.77
track13,wtc1p15,35,19.07
track13,wtc1p15,36,19.41
track13,wtc1p15,37,20.015
track13,wtc1p15,38,20.375
track13,wtc1p15,39,20.695
track13,wtc1p15,40,21.05
track13,wtc1p15,41,21.34
track13,wtc1p15,42,21.665
track13,wtc1p15,43,22.0
track13,wtc1p15,44,22.64
track13,wtc1p15,45,23.315
track13,wtc1p15,46,23.67
track13,wtc1p15,47,23.945
track13,wtc1p15,48,24.26
track13,wtc1p15,49,24.545
track13,wtc1p15,50,24.865000000000002
track13,wtc1p15,51,25.215
track13,wtc1p15,52,25.52
track13,wtc1p15,53,25.89
track13,wtc1p15,54,26.2
track13,wtc1p15,55,26.53
track13,wtc1p15,56,27.14
track13,wtc1p15,57,27.400000000000002
track13,wtc1p15,58,27.75
track13,wtc1p15,59,28.060000000000002
track13,wtc1p15,60,28.385
track13,wtc1p15,61,28.98
track13,wtc1p15,62,29.62
track14,wtc1p17,1,0.48
track14,wtc1p17,2,1.7850000000000001
track14,wtc1p17,3,2.68
track14,wtc1p17,4,3.545
track14,wtc1p17,5,4.1
track14,wtc1p17,6,4.595
track14,wtc1p17,7,5.095
track14,wtc1p17,8,5.55
track14,wtc1p17,9,6.095
track14,wtc1p17,10,6.61
track14,wtc1p17,11,7.13
track14,wtc1p17,12,7.605
track14,wtc1p17,13,8.085
track14,wtc1p17,14,8.575000000000001
track14,wtc1p17,15,9.055
track14,wtc1p17,16,9.575000000000001
track14,wtc1p17,17,10.055
track14,wtc1p17,18,10.55
track14,wtc1p17,19,11.065
track14,wtc1p17,20,11.575000000000001
track14,wtc1p17,21,12.08
track14,wtc1p17,22,12.575000000000001
track14,wtc1p17,23,13.055
track14,wtc1p17,24,13.585
track14,wtc1p17,25,14.105
track14,wtc1p17,26,14.615
track14,wtc1p17,27,15.11
track14,wtc1p17,28,15.585
track14,wtc1p17,29,16.09
track14,wtc1p17,30,16.580000000000002
track14,wtc1p17,31,17.07
track14,wtc1p17,32,17.545
track14,wtc1p17,33,18.065
track14,wtc1p17,34,18.54
track14,wtc1p17,35,19.03
track14,wtc1p17,36,19.52
track14,wtc1p17,37,20.015
track14,wtc1p17,38,20.485
track14,wtc1p17,39,20.98
track14,wtc1p17,40,21.5
track14,wtc1p17,41,22.02
track14,wtc1p17,42,22.5
track14,wtc1p17,43,22.985
track14,wtc1p17,44,23.490000000000002
track14,wtc1p17,45,23.985
track14,wtc1p17,46,24.505
track14,wtc1p17,47,24.98
track14,wtc1p17,48,25.48
track14,wtc1p17,49,25.97
track14,wtc1p17,50,26.485
track14,wtc1p17,51,26.955000000000002
track14,wtc1p17,52,27.47
track14,wtc1p17,53,27.985
track14,wtc1p17,54,28.495
track14,wtc1p17,55,29.01
track14,wtc1p17,56,29.495
track15,wtc1p03,1,2.4050000000000002
track15,wtc1p03,2,2.85
track15,wtc1p03,3,3.3000000000000003
track15,wtc1p03,4,3.745
track15,wtc1p03,5,4.19
track15,wtc1p03,6,4.63
track15,wtc1p03,7,5.11
