emotion_term,target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
happy,rating_mean__happy,midi_pitch_max,24131,0.15075335593470063,1.2043138930772729e-122,0.18969491352304124,2.6037351931506394e-194,4.947096866986215e-193,0.18969491352304124
happy,rating_mean__happy,midi_velocity_max,24131,0.13674375947604311,4.70685375128573e-101,0.18064526115407192,4.1757106346544826e-176,3.9669251029217585e-175,0.18064526115407192
happy,rating_mean__happy,midi_pitch_range,24131,0.1776427134807642,2.8279817200906892e-170,0.1738464457419793,4.732075927723372e-163,2.996981420891469e-162,0.1738464457419793
happy,rating_mean__happy,midi_pitch_std,24131,0.16634474340914768,2.9116882386064887e-149,0.1685168911191275,3.4476373703641203e-153,1.6376277509229571e-152,0.1685168911191275
happy,rating_mean__happy,audio100_spectral_bandwidth_hz,24816,-0.10770620148497319,6.279440022162668e-65,-0.16186052261176534,2.7907307878246806e-145,1.0604776993733787e-144,0.16186052261176534
happy,rating_mean__happy,midi_velocity_mean,24131,0.08702894990974472,8.572479801880043e-42,0.15061380184423706,2.025908231206111e-122,6.415376065486018e-122,0.15061380184423706
happy,rating_mean__happy,audio100_rms,24816,0.12769769131199465,1.018162057799345e-90,0.13866520335449334,8.839421666586493e-107,2.399271595216334e-106,0.13866520335449334
happy,rating_mean__happy,midi_active_note_count,24816,0.15377918428753642,3.661161199504924e-131,0.12302035255062237,2.777635127066923e-84,6.596883426783943e-84,0.12302035255062237
happy,rating_mean__happy,midi_pitch_mean,24131,0.050794121098891504,2.900231994802997e-15,0.10720349414129826,1.3010164994779418e-62,2.746590387786766e-62,0.10720349414129826
happy,rating_mean__happy,midi_velocity_min,24131,0.028795727561816926,7.681676003017903e-06,0.10028034141252586,5.6407550667965005e-55,1.071743462691335e-54,0.10028034141252586
happy,rating_mean__happy,tap_count_100ms,24816,0.13385363047474033,1.4479941359926569e-99,0.07363809890315125,3.439051817848749e-31,5.940180412647839e-31,0.07363809890315125
happy,rating_mean__happy,midi_velocity_range,24131,0.10860911557126625,3.166057523996082e-64,0.07308071185739569,6.0990752215863444e-30,9.656869100845045e-30,0.07308071185739569
happy,rating_mean__happy,audio100_zero_crossing_rate,24816,0.028530786394351644,6.9514235980076854e-06,0.06951220405249524,5.753754140780537e-28,8.40933297498694e-28,0.06951220405249524
happy,rating_mean__happy,midi_velocity_std,24131,0.08873496537664244,2.1949514411948068e-43,0.055547886066838574,5.8667821577579405e-18,7.962061499814348e-18,0.055547886066838574
happy,rating_mean__happy,audio100_spectral_centroid_hz,24816,-0.039714316789455834,3.8897769942880405e-10,-0.043653361367350214,5.99836166827767e-12,7.597924779818382e-12,0.043653361367350214
happy,rating_mean__happy,midi_note_onset_count_100ms,24816,0.060580543938290904,1.2770488741692971e-21,0.036168393912635134,1.2035752544421837e-08,1.4292456146500932e-08,0.036168393912635134
happy,rating_mean__happy,midi_pitch_min,24131,-0.06918142812959434,5.370029155648954e-27,-0.026155227710793892,4.834678249860872e-05,5.403463926315093e-05,0.026155227710793892
happy,rating_mean__happy,audio100_spectral_rolloff_hz,24816,-0.0031237023232778454,0.6226796105355915,0.02094004156851434,0.0009706443284003858,0.0010245690133115183,0.02094004156851434
happy,rating_mean__happy,audio100_onset_strength_proxy,24816,0.022130167092026594,0.0004894996513984799,0.003342716772375992,0.5985017507494069,0.5985017507494069,0.003342716772375992
sad,rating_mean__sad,midi_pitch_min,24131,-0.09063925240545878,3.373319720798182e-45,-0.13836910847522577,1.9034743334238566e-103,3.616601233505328e-102,0.13836910847522577
sad,rating_mean__sad,midi_pitch_range,24131,0.14925617779463093,3.109348714112453e-120,0.1310240827819932,7.283501195328216e-93,6.919326135561806e-92,0.1310240827819932
sad,rating_mean__sad,midi_pitch_std,24131,0.13175770445226181,6.79344812070427e-94,0.11114938956058525,3.3871561095154897e-67,2.14519886935981e-66,0.11114938956058525
sad,rating_mean__sad,midi_velocity_range,24131,0.1270085837073602,2.49206320611393e-87,0.07614821445242809,2.2686899312160553e-32,8.62102173862101e-32,0.07614821445242809
sad,rating_mean__sad,midi_active_note_count,24816,0.1272312036968654,4.578923293282106e-90,0.07555127830175612,9.525537333969399e-33,4.524630233635464e-32,0.07555127830175612
sad,rating_mean__sad,midi_pitch_mean,24131,-0.00663547712234508,0.30267058942666825,-0.0728409921738076,9.352576997860045e-30,2.961649382655681e-29,0.0728409921738076
sad,rating_mean__sad,midi_velocity_max,24131,0.05665404754858047,1.281436463814319e-18,0.06152311756293669,1.1148383464227914e-21,3.025989797433291e-21,0.06152311756293669
sad,rating_mean__sad,midi_velocity_std,24131,0.09951995353240453,3.619614229819071e-54,0.05134340168001475,1.4560656811885809e-15,3.4581559928228797e-15,0.05134340168001475
sad,rating_mean__sad,audio100_spectral_rolloff_hz,24816,0.08850727116590726,2.397973297665095e-44,0.04999189292197867,3.2790406888687435e-15,6.9224192320562365e-15,0.04999189292197867
sad,rating_mean__sad,midi_note_onset_count_100ms,24816,0.023364913069736176,0.00023230824832568144,-0.03413767387758647,7.488532630779382e-08,1.4228211998480824e-07,0.03413767387758647
sad,rating_mean__sad,tap_count_100ms,24816,0.07240748242428913,3.290483790867846e-30,0.030527058727335684,1.5105479408634065e-06,2.6091282614913385e-06,0.030527058727335684
sad,rating_mean__sad,audio100_spectral_bandwidth_hz,24816,0.018071798857116794,0.0044139365934728544,-0.026039284031363887,4.0874154895350746e-05,6.471741191763868e-05,0.026039284031363887
sad,rating_mean__sad,midi_velocity_min,24131,-0.06206091954634757,4.942371246831991e-22,-0.025909059751253502,5.692185759739287e-05,8.319348418080496e-05,0.025909059751253502
sad,rating_mean__sad,midi_pitch_max,24131,0.09071160434599644,2.873398821085173e-45,0.0177496847421239,0.005827406860845033,0.007908623596861116,0.0177496847421239
sad,rating_mean__sad,audio100_zero_crossing_rate,24816,0.047271147813325205,9.30163653327784e-14,-0.016150994402428755,0.010949095953226698,0.013868854874087152,0.016150994402428755
sad,rating_mean__sad,midi_velocity_mean,24131,-0.01096484883458564,0.0885194831187082,0.014149590604366939,0.027947992281641923,0.03318824083444978,0.014149590604366939
sad,rating_mean__sad,audio100_spectral_centroid_hz,24816,0.06430582766654672,3.665607401868924e-24,0.011430891900683618,0.07175216916551734,0.0801936008320488,0.011430891900683618
sad,rating_mean__sad,audio100_onset_strength_proxy,24816,0.005003884044472821,0.4305611130541544,-0.007131838196860397,0.2612494235216154,0.2757632803839274,0.007131838196860397
sad,rating_mean__sad,audio100_rms,24816,0.05700265621748413,2.5514241793678585e-19,0.0052232401699932535,0.4106296155603474,0.4106296155603474,0.0052232401699932535
calm,rating_mean__calm,midi_velocity_min,24131,-0.11232052069554771,1.370002313489545e-68,-0.09484502852434065,2.4303417744898116e-49,4.6176493715306424e-48,0.09484502852434065
calm,rating_mean__calm,audio100_rms,24816,-0.04230478212213832,2.6115388381748583e-11,-0.08047652122693176,6.104733060334776e-37,5.7994964073180376e-36,0.08047652122693176
calm,rating_mean__calm,midi_velocity_mean,24131,-0.07479211126788779,2.7675760989970718e-31,-0.06934399225322725,4.077695033631239e-27,2.5825401879664515e-26,0.06934399225322725
calm,rating_mean__calm,midi_velocity_range,24131,0.11202325144590793,3.1027404653301236e-68,0.06302188315147558,1.1353504923057667e-22,5.392914838452392e-22,0.06302188315147558
calm,rating_mean__calm,audio100_spectral_bandwidth_hz,24816,0.13539085050905986,7.665057552843864e-102,0.061927077893586834,1.6019569337160513e-22,6.087436348120995e-22,0.061927077893586834
calm,rating_mean__calm,midi_pitch_range,24131,0.0883828474086566,4.704228151683787e-43,0.05986044273760221,1.31892184096593e-20,4.176585829725445e-20,0.05986044273760221
calm,rating_mean__calm,midi_velocity_std,24131,0.0883177354680916,5.41454568780047e-43,0.04766382704619889,1.2821838792632278e-13,3.4802133865716184e-13,0.04766382704619889
calm,rating_mean__calm,audio100_spectral_centroid_hz,24816,0.15312952639645097,4.631360448114362e-130,0.04557094061733604,6.859694411193642e-13,1.62917742265849e-12,0.04557094061733604
calm,rating_mean__calm,midi_pitch_std,24131,0.07210835232767862,3.4246015557040104e-29,0.04539484705422125,1.7262832903107323e-12,3.644375835100435e-12,0.04539484705422125
calm,rating_mean__calm,midi_pitch_min,24131,-0.0358953038223149,2.4394240891919354e-08,-0.04167806979519984,9.367889871585772e-11,1.7798990756012967e-10,0.04167806979519984
calm,rating_mean__calm,midi_note_onset_count_100ms,24816,-0.0025579847528163745,0.6869907989525723,-0.04053516795089505,1.6823745590776904e-10,2.9059196929523743e-10,0.04053516795089505
calm,rating_mean__calm,midi_active_note_count,24816,0.08581154174636978,8.801816381948474e-42,0.039533186557826366,4.66965636774328e-10,7.393622582260194e-10,0.039533186557826366
calm,rating_mean__calm,midi_velocity_max,24131,-0.012135749277170014,0.05940851324973139,-0.02943108696263799,4.816527460981534e-06,7.018209050742394e-06,0.02943108696263799
calm,rating_mean__calm,midi_pitch_max,24131,0.07337311251258133,3.6138650716849134e-30,0.029335165646697924,5.1713119321259746e-06,7.018209050742394e-06,0.029335165646697924
calm,rating_mean__calm,tap_count_100ms,24816,0.06574544135439896,3.48021653857527e-25,0.025505724167514166,5.859660370185515e-05,7.422236468901652e-05,0.025505724167514166
calm,rating_mean__calm,audio100_onset_strength_proxy,24816,-0.01681255502235031,0.008083752660619553,-0.019407488625857883,0.0022325566914814347,0.0026511610711342035,0.019407488625857883
calm,rating_mean__calm,audio100_zero_crossing_rate,24816,0.07754179536464899,2.0704686015933177e-34,-0.014150089403546345,0.025808827170398597,0.028845159778680785,0.014150089403546345
calm,rating_mean__calm,midi_pitch_mean,24131,0.01895632674997732,0.00323145322076094,-0.00947404024785275,0.141110290728984,0.14894975132503868,0.00947404024785275
calm,rating_mean__calm,audio100_spectral_rolloff_hz,24816,0.15395846042042916,1.8139848179901822e-131,0.006946560567704794,0.2738425592002339,0.2738425592002339,0.006946560567704794
energetic,rating_mean__energetic,audio100_spectral_bandwidth_hz,24816,-0.32369054617722204,0.0,-0.2790850445226708,0.0,0.0,0.2790850445226708
energetic,rating_mean__energetic,midi_velocity_max,24131,0.22807218670187202,2.9035028879011067e-282,0.26833370169405174,0.0,0.0,0.26833370169405174
energetic,rating_mean__energetic,midi_velocity_mean,24131,0.19590032874917085,2.401225875075317e-207,0.26349586269307207,0.0,0.0,0.26349586269307207
energetic,rating_mean__energetic,audio100_rms,24816,0.23857593853713854,3.622726e-318,0.25722383484308275,0.0,0.0,0.25722383484308275
energetic,rating_mean__energetic,midi_velocity_min,24131,0.12684744839854878,4.12042074360119e-87,0.20694332523784334,1.1522941204193411e-231,4.3787176575934964e-231,0.20694332523784334
energetic,rating_mean__energetic,midi_pitch_max,24131,0.14485561958129353,2.734366156610638e-113,0.17845345481379515,7.714610426561702e-172,2.4429599684112054e-171,0.17845345481379515
energetic,rating_mean__energetic,midi_pitch_std,24131,0.15685384597017304,9.839083092684675e-133,0.16025478011733948,1.5390890110872016e-138,4.1775273158081185e-138,0.16025478011733948
energetic,rating_mean__energetic,midi_pitch_range,24131,0.16512514694925823,4.418680357318429e-147,0.15880125099503214,4.836597078781363e-136,1.1486918062105737e-135,0.15880125099503214
energetic,rating_mean__energetic,midi_active_note_count,24816,0.18779507898181058,9.328003662154182e-196,0.1383689310639238,2.501832342720187e-106,5.281646056853728e-106,0.1383689310639238
energetic,rating_mean__energetic,audio100_spectral_centroid_hz,24816,-0.23844112389222183,8.44689e-318,-0.12158988019822868,2.3055112825837343e-82,4.380471436909095e-82,0.12158988019822868
energetic,rating_mean__energetic,tap_count_100ms,24816,0.16170102035721146,5.391404893188634e-145,0.10722157147875049,2.3316867435968363e-64,4.027458920758172e-64,0.10722157147875049
energetic,rating_mean__energetic,midi_pitch_mean,24131,0.055979535390160325,3.251621479755604e-18,0.10043940764254218,3.8165025593839024e-55,6.042795719024512e-55,0.10043940764254218
energetic,rating_mean__energetic,audio100_zero_crossing_rate,24816,-0.04762994846191031,6.046376381202278e-14,0.09131385925827082,4.2156732421391163e-47,6.161368584664862e-47,0.09131385925827082
energetic,rating_mean__energetic,midi_note_onset_count_100ms,24816,0.09676728006871035,1.0564583617346299e-52,0.08263985211361838,7.24695692440383e-39,9.835155825976626e-39,0.08263985211361838
energetic,rating_mean__energetic,midi_velocity_range,24131,0.09378428329799636,2.807276735676022e-48,0.04994455504688681,8.300398454340732e-15,1.0513838042164927e-14,0.04994455504688681
energetic,rating_mean__energetic,audio100_onset_strength_proxy,24816,0.04644554889841305,2.476143503301699e-13,0.04847846766628509,2.155966146642156e-14,2.5602097991375605e-14,0.04847846766628509
energetic,rating_mean__energetic,midi_velocity_std,24131,0.0818407673109107,3.82823825006494e-37,0.03925308602637811,1.0628741253360563e-09,1.1879181400814748e-09,0.03925308602637811
energetic,rating_mean__energetic,midi_pitch_min,24131,-0.06003351177541426,1.0230109752921903e-20,-0.03856493767552387,2.0644080755894916e-09,2.179097413122241e-09,0.03856493767552387
energetic,rating_mean__energetic,audio100_spectral_rolloff_hz,24816,-0.1787808746562553,2.6029723299361406e-177,0.020281435992065326,0.001397719665401382,0.001397719665401382,0.020281435992065326
