stim_name,wtc_code,window_start_s,window_end_s,window_center_s,source_audio_path,mir_rms,mir_lowenergy,mir_brightness,mir_roughness,mir_centroid
track1,wtc1p15,5.75,6.75,6.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0242859315163769,NaN,0.167752574880387,97964.0113224703,1078.80815439705
track1,wtc1p15,6,7,6.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0247856543125706,NaN,0.180694104991884,72480.0197490767,1119.32712258546
track1,wtc1p15,6.25,7.25,6.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0286088626505401,NaN,0.171278608676193,102629.114127341,1071.4980033769
track1,wtc1p15,6.5,7.5,7,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.025941619061186,NaN,0.166710500720878,112991.886203718,1009.22264921662
track1,wtc1p15,6.75,7.75,7.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0256602186776943,NaN,0.154217958336316,106702.910485518,968.948512796703
track1,wtc1p15,7,8,7.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0235760947055451,NaN,0.151019521868754,82039.980028469,1019.14328321878
track1,wtc1p15,7.25,8.25,7.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0210333785052269,NaN,0.141511623307741,67734.1282964245,1041.94475894967
track1,wtc1p15,7.5,8.5,8,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0228441031944855,NaN,0.128968862741565,58161.424357689,1048.78801822061
track1,wtc1p15,7.75,8.75,8.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0218850947475954,NaN,0.136040691999161,57215.1771993913,1029.32133307337
track1,wtc1p15,8,9,8.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0207394079808691,NaN,0.149727838712146,34326.4602512604,1073.44233855822
track1,wtc1p15,8.25,9.25,8.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0176399251008623,NaN,0.154933035753394,24202.8416607953,1133.13308447896
