target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
tap_count_100ms,audio100_spectral_bandwidth_hz,24816,-0.0832532801012914,2.0176707007577317e-39,-0.0358070497864401,1.6784834950146104e-08,1.6784834950146106e-07,0.0358070497864401
tap_count_100ms,audio100_spectral_centroid_hz,24816,-0.0766420031335045,1.183249949490666e-33,-0.0343631630317526,6.142998700308273e-08,3.0714993501541364e-07,0.0343631630317526
tap_count_100ms,audio100_rms,24816,0.0456565806069615,6.213456698119154e-13,0.0311009557394925,9.56896413385307e-07,3.189654711284357e-06,0.0311009557394925
tap_count_100ms,mir100_rms,24792,0.0443921665876611,2.6935277413802098e-12,0.0297005100739668,2.9070163646891303e-06,7.267540911722826e-06,0.0297005100739668
tap_count_100ms,mir100_centroid,24705,-0.0602165466697552,2.7231462201309477e-21,-0.0253144954223846,6.911143866499086e-05,0.0001382228773299,0.0253144954223846
tap_count_100ms,mir100_brightness,24705,-0.0287941699810852,5.996107993403593e-06,-0.0192381354598885,0.0024950331708246,0.0040004835733195,0.0192381354598885
tap_count_100ms,mir100_roughness,24792,0.0160742405952295,0.0113737358308071,0.0189814957871898,0.0028003385013237,0.0040004835733195,0.0189814957871898
tap_count_100ms,audio100_spectral_rolloff_hz,24816,-0.0671296370815569,3.4457151094628655e-26,-0.01671768901693,0.0084483761135469,0.0105604701419336,0.01671768901693
tap_count_100ms,audio100_onset_strength_proxy,24816,0.0132906648407146,0.0362886696004464,0.0067342291916136,0.2887771168601919,0.3208634631779909,0.0067342291916136
tap_count_100ms,audio100_zero_crossing_rate,24816,-0.0213208147522475,0.0007825315915602,0.0051077307298202,0.4210560906213922,0.4210560906213921,0.0051077307298202
