stim_name,wtc_code,beat_index,optimized_crowd_beat_s
track1,wtc1p15,1,0.3349971346308469
track1,wtc1p15,2,0.7049978315933942
track1,wtc1p15,3,1.0749985285559416
track1,wtc1p15,4,1.444999225518489
track1,wtc1p15,5,1.8149999224810363
track1,wtc1p15,6,2.2650007549170668
track1,wtc1p15,7,2.7399965230395678
track1,wtc1p15,8,3.102498177105473
track1,wtc1p15,9,3.4649998311713786
track1,wtc1p15,10,3.826622248047185
track1,wtc1p15,11,4.3799945691694075
track1,wtc1p15,12,4.859999806682116
track1,wtc1p15,13,5.235004268515362
track1,wtc1p15,14,5.640000077359701
track1,wtc1p15,15,6.050003261614143
track1,wtc1p15,16,6.470003322480858
track1,wtc1p15,17,6.890003383347574
track1,wtc1p15,18,7.309999945339181
track1,wtc1p15,19,7.764997681677865
track1,wtc1p15,20,8.179999006885465
track1,wtc1p15,21,8.595000332093065
track1,wtc1p15,22,9.004999800778373
track1,wtc1p15,23,9.545000111559784
track1,wtc1p15,24,10.044445653969603
track1,wtc1p15,25,10.387221868111347
track1,wtc1p15,26,10.729998082253088
track1,wtc1p15,27,11.017358989466882
track1,wtc1p15,28,11.304719896680677
track1,wtc1p15,29,11.66999545702032
track1,wtc1p15,30,11.955001696455577
track1,wtc1p15,31,12.34999591577966
track1,wtc1p15,32,12.734998573998283
track1,wtc1p15,33,12.98999925412645
track1,wtc1p15,34,13.299999053480011
track1,wtc1p15,35,13.669999750442559
track1,wtc1p15,36,14.030000081067833
track1,wtc1p15,37,14.340008038575341
track1,wtc1p15,38,14.659994509829678
track1,wtc1p15,39,15.024999221393692
track1,wtc1p15,40,15.419999986585793
track1,wtc1p15,41,15.714998675321793
track1,wtc1p15,42,16.02531873556223
track1,wtc1p15,43,16.335638795802666
track1,wtc1p15,44,16.69999854691838
track1,wtc1p15,45,17.004996369543754
track1,wtc1p15,46,17.32499983084305
track1,wtc1p15,47,17.64500329214235
track1,wtc1p15,48,17.967501496376023
track1,wtc1p15,49,18.289999700609698
track1,wtc1p15,50,18.624998203059896
track1,wtc1p15,51,18.985000900385387
track1,wtc1p15,52,19.28500131895409
track1,wtc1p15,53,19.590000103779882
track1,wtc1p15,54,19.90999784909343
track1,wtc1p15,55,20.224999896252623
track1,wtc1p15,56,20.5100001364721
track1,wtc1p15,57,20.934794314020674
track1,wtc1p15,58,21.25239669573305
track1,wtc1p15,59,21.569999077445427
track1,wtc1p15,60,21.865006112341014
track1,wtc1p15,61,22.160013147236597
track1,wtc1p15,62,22.43000136389548
track1,wtc1p15,63,22.839999003884582
track1,wtc1p15,64,23.104998784785682
track1,wtc1p15,65,23.47499942641229
track1,wtc1p15,66,23.79500384233592
track1,wtc1p15,67,24.22499964583357
track1,wtc1p15,68,24.534998206473148
track1,wtc1p15,69,24.85500184115856
track1,wtc1p15,70,25.18000043057754
track1,wtc1p15,71,25.535000392032945
track1,wtc1p15,72,25.88999932008975
track1,wtc1p15,73,26.220002501937408
track1,wtc1p15,74,26.515000254635922
track1,wtc1p15,75,26.86499909767893
track1,wtc1p15,76,27.249898760960402
track1,wtc1p15,77,27.54721558762926
track1,wtc1p15,78,27.844532414298122
track1,wtc1p15,79,28.210000144065162
track1,wtc1p15,80,28.58927361045159
track1,wtc1p15,81,28.86962260205784
track1,wtc1p15,82,29.149971593664095
track1,wtc1p15,83,29.559999352203736
track1,wtc1p15,84,29.875000563840477
track10,wtc1p03,1,0.0887742374377205
track10,wtc1p03,2,0.4554691049739916
track10,wtc1p03,3,0.8221639725102627
track10,wtc1p03,4,1.1888588400465339
track10,wtc1p03,5,1.555553707582805
track10,wtc1p03,6,1.922248575119076
track10,wtc1p03,7,2.288943442655347
track10,wtc1p03,8,2.8318414600118893
track10,wtc1p03,9,3.341241252411562
track10,wtc1p03,10,3.8408463931578622
track10,wtc1p03,11,4.325232447071419
track10,wtc1p03,12,4.793250685934214
track10,wtc1p03,13,5.212403392346251
track10,wtc1p03,14,5.569040291875245
track10,wtc1p03,15,5.911441593314608
track10,wtc1p03,16,6.263388220635145
track10,wtc1p03,17,6.6105267330008
track10,wtc1p03,18,6.956654003798081
track10,wtc1p03,19,7.306526633178506
track10,wtc1p03,20,7.670355741498814
track10,wtc1p03,21,8.030379227482811
track10,wtc1p03,22,8.391354457398668
track10,wtc1p03,23,8.75404326836317
track10,wtc1p03,24,9.12810074229489
track10,wtc1p03,25,9.510161995411066
track10,wtc1p03,26,9.896638786274472
track10,wtc1p03,27,10.274328256530131
track10,wtc1p03,28,10.645842217908541
track10,wtc1p03,29,11.007393995623785
track10,wtc1p03,30,11.37158138108941
track10,wtc1p03,31,11.741997113315321
track10,wtc1p03,32,12.117398529528856
track10,wtc1p03,33,12.476769416792992
track10,wtc1p03,34,12.836301909913738
track10,wtc1p03,35,13.214879932138926
track10,wtc1p03,36,13.616186568189569
track10,wtc1p03,37,13.99659216491148
track10,wtc1p03,38,14.359342174747308
track10,wtc1p03,39,14.724703512714663
track10,wtc1p03,40,15.091568543676846
track10,wtc1p03,41,15.450760172278144
track10,wtc1p03,42,15.791841950806928
track10,wtc1p03,43,16.153706481043603
track10,wtc1p03,44,16.5540310690901
track10,wtc1p03,45,16.95963284546929
track10,wtc1p03,46,17.33564716189973
track10,wtc1p03,47,17.69936433454729
track10,wtc1p03,48,18.071792361162476
track10,wtc1p03,49,18.480565838434178
track10,wtc1p03,50,18.92665651688223
track10,wtc1p03,51,19.405862558004358
track10,wtc1p03,52,19.8920631839335
track10,wtc1p03,53,20.362601180655346
track10,wtc1p03,54,20.823708595070148
track10,wtc1p03,55,21.229672671900914
track10,wtc1p03,56,21.587034142294087
track10,wtc1p03,57,21.953729009830358
track10,wtc1p03,58,22.355243180368973
track10,wtc1p03,59,22.760237055098127
track10,wtc1p03,60,23.14373310577785
track10,wtc1p03,61,23.517154208579413
track10,wtc1p03,62,23.880231866683733
track10,wtc1p03,63,24.23422553046463
track10,wtc1p03,64,24.57257489308122
track10,wtc1p03,65,24.921940519525435
track10,wtc1p03,66,25.300341468182246
track10,wtc1p03,67,25.678231811229132
track10,wtc1p03,68,26.04380063604016
track10,wtc1p03,69,26.403964488314802
track10,wtc1p03,70,26.75469088709376
track10,wtc1p03,71,27.097409866136882
track10,wtc1p03,72,27.428231886509693
track10,wtc1p03,73,27.770535192161628
track10,wtc1p03,74,28.134853365732337
track10,wtc1p03,75,28.49302364642105
track10,wtc1p03,76,28.836624434832817
track10,wtc1p03,77,29.19316499328015
track10,wtc1p03,78,29.575000384091606
track10,wtc1p03,79,29.941695251627877
track11,wtc1p15,1,0.25498470866453826
track11,wtc1p15,2,0.5999867632028828
track11,wtc1p15,3,0.9449888177412273
track11,wtc1p15,4,1.2899908722795719
track11,wtc1p15,5,1.6349929268179164
track11,wtc1p15,6,2.0549994080911733
track11,wtc1p15,7,2.4750058893644304
track11,wtc1p15,8,2.8849810726010143
track11,wtc1p15,9,3.345000026106274
track11,wtc1p15,10,3.800053650659601
track11,wtc1p15,11,4.305014942000595
track11,wtc1p15,12,4.565016181671493
track11,wtc1p15,13,4.825017421342391
track11,wtc1p15,14,5.2299998098757605
track11,wtc1p15,15,5.689999546079434
track11,wtc1p15,16,5.994998346761053
track11,wtc1p15,17,6.29999714744267
track11,wtc1p15,18,6.592546173373291
track11,wtc1p15,19,6.995016610545672
track11,wtc1p15,20,7.449961789713076
track11,wtc1p15,21,7.764970935549597
track11,wtc1p15,22,8.079980081386116
track11,wtc1p15,23,8.502479794196065
track11,wtc1p15,24,8.924979507006013
track11,wtc1p15,25,9.262494742915973
track11,wtc1p15,26,9.60000997882593
track11,wtc1p15,27,9.970029474092776
track11,wtc1p15,28,10.347497752754371
track11,wtc1p15,29,10.724966031415969
track11,wtc1p15,30,11.17000133870271
track11,wtc1p15,31,11.594989203445303
track11,wtc1p15,32,12.019977068187897
track11,wtc1p15,33,12.339992606913777
track11,wtc1p15,34,12.655034208892753
track11,wtc1p15,35,12.995018898949118
track11,wtc1p15,36,13.320020976017618
track11,wtc1p15,37,13.615003289226694
track11,wtc1p15,38,13.984989375778797
track11,wtc1p15,39,14.28000005069561
track11,wtc1p15,40,14.635019331784504
