target,feature,n_tracks,pearson_r,pearson_p_approx,spearman_r,spearman_p_approx,abs_pearson_r
beat_sequence_cv_ioi_pct,spectral_dmfcc_Mean_8,24,0.6012801984990664,0.005861826640755006,0.4269565217391304,0.05039915354860198,0.6012801984990664
beat_sequence_cv_ioi_pct,spectral_ddmfcc_Mean_11,24,0.5824794792215793,0.007601941581538367,0.3408695652173913,0.11827371711028674,0.5824794792215793
beat_sequence_cv_ioi_pct,rhythm_tempo_Std,24,0.5053731978516061,0.020563132241469398,0.5260869565217391,0.015916121249922647,0.5053731978516061
beat_sequence_cv_ioi_pct,spectral_dmfcc_Mean_1,24,-0.503805765304744,0.020958676516660654,-0.4956521739130434,0.02312497570774288,0.503805765304744
beat_sequence_cv_ioi_pct,spectral_ddmfcc_Mean_9,24,0.500799578452825,0.021735876623523363,0.36695652173913035,0.09264525906774888,0.500799578452825
beat_sequence_cv_ioi_pct,spectral_ddmfcc_Mean_13,24,-0.4928476494204457,0.02391377849091646,-0.16869565217391302,0.4394865199643556,0.4928476494204457
beat_sequence_cv_ioi_pct,rhythm_tempo_Mean,24,0.49110157065695964,0.02441658173381262,0.5017391304347826,0.02149031911352963,0.49110157065695964
beat_sequence_cv_ioi_pct,spectral_dmfcc_Mean_11,24,0.47853743514138486,0.028312133237867097,0.31304347826086953,0.1514166730461868,0.47853743514138486
consensus_tempo_bpm,spectral_ddmfcc_Mean_11,24,0.7619343612229803,0.0004800973625867762,0.6626061885196414,0.002393873536342793,0.7619343612229803
consensus_tempo_bpm,spectral_ddmfcc_Mean_6,24,0.7260476612986962,0.0008773334789129594,0.45812496159631144,0.03578233165359028,0.7260476612986962
consensus_tempo_bpm,spectral_ddmfcc_Mean_13,24,-0.6601266338537132,0.0024856714977368726,-0.30933223902656926,0.1563255755459004,0.6601266338537132
consensus_tempo_bpm,spectral_dmfcc_Mean_13,24,0.636261565604852,0.0035487247329259535,0.5264303927175089,0.015847574520925965,0.636261565604852
consensus_tempo_bpm,spectral_dmfcc_Mean_8,24,0.6343774665746101,0.00364816665605094,0.448988566350801,0.039635839969264015,0.6343774665746101
consensus_tempo_bpm,rhythm_tempo_Mean,24,0.5921450624955752,0.006656660803586197,0.33630635832283834,0.12328044291665902,0.5921450624955752
consensus_tempo_bpm,spectral_dmfcc_Mean_2,24,0.5750188489498869,0.008412057733118122,0.32804009595785266,0.13276980137570576,0.5750188489498869
consensus_tempo_bpm,spectral_ddmfcc_Mean_5,24,0.5575462996138794,0.010618837107376674,0.4180988490921703,0.05536896224752247,0.5575462996138794
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_7,24,-0.4706149526600587,0.03103461086356136,-0.3017391304347826,0.16674386444294984,0.4706149526600587
istc_mean_max_unique_per_sec,spectral_mfcc_Std_6,24,-0.3427503840419573,0.11625709482606557,-0.3565217391304348,0.10230340304323236,0.3427503840419573
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_6,24,-0.34270953754414873,0.11630060177973385,-0.31652173913043474,0.14692336686573668,0.34270953754414873
istc_mean_max_unique_per_sec,spectral_irregularity_Mean,24,0.31824380056559143,0.1447368480328161,0.3608695652173913,0.09818602323646144,0.31824380056559143
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_14,24,-0.29827554974175097,0.1716659675619611,-0.3991304347826086,0.06739280289246512,0.29827554974175097
