target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
istc_mean_max_unique_per_sec,mtb_active_note_count,2880,0.3530617951678324,2.6368980394009667e-85,0.27350450001361665,1.3913216262573093e-50,0.27350450001361665
istc_mean_max_unique_per_sec,active_note_count,2880,0.352808156792511,3.5417041494039475e-85,0.273057946766168,2.036913428197576e-50,0.273057946766168
istc_mean_max_unique_per_sec,mtb_n_note_onsets,2880,0.30642578217646554,1.1568439177231504e-63,0.2499608435774589,2.8311810616153524e-42,0.2499608435774589
istc_mean_max_unique_per_sec,mtb_note_onset_density_per_s,2880,0.30642578217646554,1.1568439177231504e-63,0.2499608435774589,2.8311810616153524e-42,0.2499608435774589
istc_mean_max_unique_per_sec,n_note_onsets,2880,0.3062016239102042,1.4397863626694537e-63,0.24971387831045494,3.424890940334221e-42,0.24971387831045494
istc_mean_max_unique_per_sec,note_onset_density_per_s,2880,0.3062016239102042,1.4397863626694537e-63,0.24971387831045494,3.424890940334221e-42,0.24971387831045494
istc_mean_max_unique_per_sec,mean_midi_ioi_s,2809,-0.26139926963820853,4.149941016249733e-45,-0.2314758632011761,1.7525057662401002e-35,0.2314758632011761
istc_mean_max_unique_per_sec,mtb_ioi_mean_s,2809,-0.2617975895347723,3.027119219664174e-45,-0.2314142417367621,1.8287060956421795e-35,0.2314142417367621
istc_mean_max_unique_per_sec,mtb_pitch_std,2874,0.24561517003541494,9.439904339558733e-41,0.2294467497913128,1.2056676100162556e-35,0.2294467497913128
istc_mean_max_unique_per_sec,std_pitch,2809,0.2337207813268476,3.686039839762854e-36,0.21014722524361126,2.096129098244045e-29,0.21014722524361126
istc_mean_max_unique_per_sec,spectral_centroid_hz_mean,2880,-0.25901983302844467,2.267233829584215e-45,-0.20386643265656157,2.140636859370827e-28,0.20386643265656157
istc_mean_max_unique_per_sec,mtb_ioi_cv,2702,0.20444601185605266,6.901970716979017e-27,0.20072554016616723,5.867339073612535e-26,0.20072554016616723
istc_mean_max_unique_per_sec,cv_midi_ioi,2702,0.203506802057523,1.189413470774193e-26,0.20016301300278136,8.079591383247972e-26,0.20016301300278136
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_mean,2880,-0.2451489507525833,1.1128020755049874e-40,-0.1898567044781135,8.857222629982156e-25,0.1898567044781135
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_std,2880,-0.23046150530335097,5.017422161912076e-36,-0.17596858110939387,1.8401358396934517e-21,0.17596858110939387
istc_mean_max_unique_per_sec,mir_centroid,2880,-0.19972713831295402,2.6771155341421353e-27,-0.16547065532101554,3.9659590458698193e-19,0.16547065532101554
istc_mean_max_unique_per_sec,spectral_centroid_hz_std,2880,-0.2067942164974903,3.467209172194705e-29,-0.164017220701106,8.123036143557051e-19,0.164017220701106
istc_mean_max_unique_per_sec,spectral_rolloff_hz_std,2880,-0.1290406222196208,3.623988009073384e-12,-0.14101966591660942,2.9014001724818716e-14,0.14101966591660942
istc_mean_max_unique_per_sec,mtb_ioi_std_s,2809,0.13065621852731268,3.6138445624135714e-12,0.13729804732601628,2.707622617870613e-13,0.13729804732601628
istc_mean_max_unique_per_sec,mtb_duration_std_s,2874,0.05145654721688202,0.005794342369756828,0.1299044486352992,2.734227242411357e-12,0.1299044486352992
istc_mean_max_unique_per_sec,spectral_rolloff_hz_mean,2880,-0.1648605681584624,5.362813613738794e-19,-0.1260428717845406,1.1344534516935305e-11,0.1260428717845406
istc_mean_max_unique_per_sec,mir_roughness,2880,0.12360857284698312,2.8101214165475544e-11,0.11503700331865534,5.962566681250779e-10,0.11503700331865534
istc_mean_max_unique_per_sec,rms_mean,2880,0.13576038250346892,2.5471208728967946e-13,0.11420089181755733,7.940174403291104e-10,0.11420089181755733
istc_mean_max_unique_per_sec,mir_rms,2880,0.12887616878909847,3.8607816409969304e-12,0.10911763875569727,4.335349173337452e-09,0.10911763875569727
istc_mean_max_unique_per_sec,mir_brightness,2880,-0.12413898266298021,2.3096093649134848e-11,-0.07221846035445553,0.0001048727684038666,0.07221846035445553
istc_mean_max_unique_per_sec,rms_std,2880,0.05379371859841449,0.0038805554620965728,0.07184691552856254,0.0001138407661577185,0.07184691552856254
istc_mean_max_unique_per_sec,onset_strength_mean,2880,0.04542438824352951,0.014771690937969522,0.06515812989856294,0.0004670894603296798,0.06515812989856294
istc_mean_max_unique_per_sec,mean_pitch,2874,-0.07128336933883478,0.00013094011777284526,-0.052508351950937414,0.004867489811007095,0.052508351950937414
istc_mean_max_unique_per_sec,zero_crossing_rate_std,2880,-0.0703336418278484,0.0001583854965938719,-0.052376868944151854,0.004930382922944531,0.052376868944151854
istc_mean_max_unique_per_sec,mtb_pitch_mean,2874,-0.07122159617223747,0.00013271733280492996,-0.052214060360535906,0.005112281906680344,0.052214060360535906
istc_mean_max_unique_per_sec,onset_strength_std,2880,0.03301280670771531,0.07649972333399652,0.051161579089854047,0.006028539802347565,0.051161579089854047
istc_mean_max_unique_per_sec,mean_velocity,2874,-0.07577392896484952,4.776598858184569e-05,-0.050876141899252936,0.006371286283665528,0.050876141899252936
istc_mean_max_unique_per_sec,mtb_duration_mean_s,2874,-0.01035661934507971,0.5789024477160082,0.040360822720440184,0.030489535090742786,0.040360822720440184
istc_mean_max_unique_per_sec,mean_note_duration_s,2874,-0.010623897922630639,0.5691442288006201,0.040029460426664616,0.03188144476111904,0.040029460426664616
istc_mean_max_unique_per_sec,mtb_approx_polyphony,2880,0.014581782922424739,0.4340720944636569,0.018259064867634272,0.3273129790188134,0.018259064867634272
istc_mean_max_unique_per_sec,approx_polyphony,2874,0.009609275584720158,0.6065962242762087,0.013740159715413154,0.4615358768320713,0.013740159715413154
istc_mean_max_unique_per_sec,zero_crossing_rate_mean,2880,-0.011256980076242519,0.5459301941025234,-0.012990645065595248,0.48587919056007445,0.012990645065595248
max_tap_count_per_100ms_bin,mtb_active_note_count,2880,0.36184399040184256,8.163303224569744e-90,0.28380910417452093,1.722711893743112e-54,0.28380910417452093
