target,feature_group,feature,n,pearson_r,pearson_p_approx,spearman_r,spearman_p_approx,within_track_pearson_r,within_track_p_approx,within_piece_pearson_r,within_piece_p_approx,usable_feature,abs_within_track_r
istc_mean_max_unique_per_sec,timbre_spectrum,spectral_bandwidth_hz_mean,9837,-0.3076066928758056,2.286121913697542e-204,-0.2092240289478583,1.2774426916611357e-95,-0.348859455658846,2.985293770022058e-262,-0.3406214925839745,4.115224122175938e-250,True,0.348859455658846
istc_mean_max_unique_per_sec,symbolic_density_complexity,active_note_count,9837,0.285923555675342,7.461833250860005e-177,0.2570149338978955,2.727776691752067e-143,0.3152837800957224,1.3703831786748843e-214,0.3089067719148402,4.422756816858794e-206,True,0.3152837800957224
istc_mean_max_unique_per_sec,symbolic_density_complexity,n_note_onsets,9837,0.2937303963609106,1.5768998112594413e-186,0.2909291912802161,5.0032560643175706e-183,0.2991555348070038,2.095567663770461e-193,0.300093566733276,1.3170146045837752e-194,True,0.2991555348070038
istc_mean_max_unique_per_sec,symbolic_density_complexity,mtb_active_note_count,9718,0.2613868711264929,2.27443361159604e-146,0.2382108196991247,6.657694833035487e-122,0.2834015527981703,1.0492245809614118e-171,0.2791008694141298,1.3517146600373038e-166,True,0.2834015527981703
istc_mean_max_unique_per_sec,timbre_spectrum,mir_centroid,9835,-0.2416056888630583,7.856518206096316e-127,-0.1447877667702167,9.680833569449216e-47,-0.2795980012247984,3.5930025922104114e-169,-0.2715776310943476,1.0140927996688257e-159,True,0.2795980012247984
istc_mean_max_unique_per_sec,timbre_spectrum,spectral_centroid_hz_mean,9837,-0.2052190187054255,4.5622595871890714e-92,-0.108798891034308,3.871106502836424e-27,-0.2654352531166478,1.0658344373758289e-152,-0.2482920098764567,7.297759082307937e-134,True,0.2654352531166478
istc_mean_max_unique_per_sec,symbolic_density_complexity,mtb_n_note_onsets,9718,0.2699319781415862,5.821743444088596e-156,0.2726078665233482,4.990398848380723e-159,0.262599961206005,1.0325822634572677e-147,0.2667659703170593,2.263334366021764e-152,True,0.262599961206005
istc_mean_max_unique_per_sec,acoustic_energy_salience,rms_mean,9837,0.2042018622353111,3.5531638042196725e-91,0.1738880710822062,1.2440874255992984e-66,0.2448361408983207,3.2241866542794997e-130,0.2474709412077958,5.418262741492154e-133,True,0.2448361408983207
istc_mean_max_unique_per_sec,acoustic_energy_salience,mir_rms,9837,0.1965321302389612,1.3503225542100151e-84,0.1673568574993297,7.424713656969358e-62,0.2386028849739963,9.00476106990582e-124,0.240880637011376,4.151132478194918e-126,True,0.2386028849739963
istc_mean_max_unique_per_sec,timbre_spectrum,spectral_rolloff_hz_mean,9837,-0.1523209377950505,1.4979172464011858e-51,0.0133188403777592,0.1865736833834126,-0.2009817529501773,2.2062291483152924e-88,-0.1876764456909325,2.6060912929985378e-77,True,0.2009817529501773
