emotion_term,target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
happy,emotion_rating_mean__happy,duration_mean_s,24,-0.7302230356186541,5.102945888929828e-05,-0.7878260869565217,4.876128032683251e-06,0.0009605972224386005,0.7878260869565217
happy,emotion_rating_mean__happy,spectral_mfcc_Mean_4,24,-0.7229058756980291,6.59478729612116e-05,-0.7521739130434782,2.246201405984972e-05,0.0017611475231743329,0.7521739130434782
happy,emotion_rating_mean__happy,notedensity_per_s,24,0.7841646383653565,5.778244308430102e-06,0.7399999999999999,3.575934057206767e-05,0.0017611475231743329,0.7399999999999999
happy,emotion_rating_mean__happy,ioi_mean_s,24,-0.7768734316153869,8.026175439525936e-06,-0.7399999999999999,3.575934057206767e-05,0.0017611475231743329,0.7399999999999999
happy,emotion_rating_mean__happy,spectral_dmfcc_Mean_4,24,0.6986571512861746,0.00014621532228604873,0.7156521739130434,8.438576636009359e-05,0.003022092099965431,0.7156521739130434
happy,emotion_rating_mean__happy,duration_std_s,24,-0.6705749099357343,0.00033588227350488337,-0.7130434782608696,9.20434142121451e-05,0.003022092099965431,0.7130434782608696
happy,emotion_rating_mean__happy,Mel_subband_amplitude_mean_11,24,0.6802882976573706,0.0002544488454317469,0.7008695652173912,0.00013640547239986243,0.0038388397232532708,0.7008695652173912
happy,emotion_rating_mean__happy,Mel_subband_amplitude_std_13,24,0.6686111992108541,0.00035484618408107967,0.6904347826086955,0.0001882833640188902,0.004336754952346435,0.6904347826086955
happy,emotion_rating_mean__happy,mean_tap_count_per_100ms_bin,24,0.7045921226146173,0.00012119362588364339,0.6852173913043478,0.00022013984529677336,0.004336754952346435,0.6852173913043478
happy,emotion_rating_mean__happy,mean_unique_participants_per_100ms_bin,24,0.7072067457235652,0.00011141668240666998,0.6852173913043478,0.00022013984529677336,0.004336754952346435,0.6852173913043478
happy,emotion_rating_mean__happy,spectral_ddmfcc_Mean_3,24,-0.6616783645550737,0.00042942812901808504,-0.6739130434782608,0.0003056600303861526,0.005474093271461097,0.6739130434782608
happy,emotion_rating_mean__happy,ioi_std_s,24,-0.6996578181933935,0.0001417045863556897,-0.6652173913043479,0.0003898164215262048,0.006399486253388529,0.6652173913043479
happy,emotion_rating_mean__happy,duration_s,24,-0.6520906888018856,0.0005547414381711554,-0.6513043478260869,0.0005662946961460898,0.00796857536719855,0.6513043478260869
happy,emotion_rating_mean__happy,spectral_ddmfcc_Mean_13,24,-0.6003189941365934,0.001925825316753872,-0.6513043478260869,0.0005662946961460898,0.00796857536719855,0.6513043478260869
happy,emotion_rating_mean__happy,duration_s_midi,24,-0.6568083651086902,0.0004896127849964324,-0.6469565217391303,0.0006340027436564855,0.00832656936668851,0.6469565217391303
happy,emotion_rating_mean__happy,window_t1_s,24,-0.6505081809883908,0.0005782035947205589,-0.6408695652173912,0.0007404749565562757,0.008964551375652769,0.6408695652173912
happy,emotion_rating_mean__happy,spectral_ddmfcc_Mean_9,24,0.6778513171202242,0.0002730663184175241,0.6391304347826086,0.0007735907278482085,0.008964551375652769,0.6391304347826086
happy,emotion_rating_mean__happy,spectral_dmfcc_Mean_12,24,0.7095840363863521,0.00010313347948357904,0.6278260869565216,0.001021588885038589,0.01118072279736678,0.6278260869565216
happy,emotion_rating_mean__happy,Mel_subband_amplitude_mean_4,24,-0.6333286603806254,0.0008934648136035782,-0.6121739130434782,0.0014757933898440646,0.01530164725259372,0.6121739130434782
happy,emotion_rating_mean__happy,spectral_ddmfcc_Mean_12,24,-0.6519410180648343,0.0005569246290023143,-0.5904347826086956,0.0023858553290152036,0.02216931905563551,0.5904347826086956
happy,emotion_rating_mean__happy,Mel_subband_amplitude_mean_13,24,0.5832420810251118,0.002776586129372134,0.5895652173913043,0.0024304551912924096,0.02216931905563551,0.5895652173913043
happy,emotion_rating_mean__happy,Mel_subband_amplitude_mean_3,24,-0.6241737644134494,0.0011150849413659755,-0.588695652173913,0.002475761518903458,0.02216931905563551,0.588695652173913
happy,emotion_rating_mean__happy,Mel_subband_amplitude_mean_5,24,-0.5702535486680159,0.00362015637224345,-0.5704347826086955,0.0036070460553329366,0.030895133604373414,0.5704347826086955
happy,emotion_rating_mean__happy,pitch_min,24,0.4804577969254391,0.01748337582695181,0.5473373747966619,0.005636798879801,0.04473448757766519,0.5473373747966619
happy,emotion_rating_mean__happy,spectral_dmfcc_Mean_1,24,-0.6269102610494286,0.001044376235684074,-0.5469565217391303,0.005676965428637715,0.04473448757766519,0.5469565217391303
happy,emotion_rating_mean__happy,rhythm_attack_time_Mean,24,-0.4951957596354096,0.013879048619593985,-0.5330434782608695,0.0073177780709402455,0.05544624153750878,0.5330434782608695
happy,emotion_rating_mean__happy,ioi_cv,24,-0.42518839519820617,0.03833482867758552,-0.5182608695652173,0.00947619216747269,0.06914110581452296,0.5182608695652173
happy,emotion_rating_mean__happy,Mel_subband_amplitude_std_4,24,-0.49367687118672643,0.014219677896132382,-0.5017391304347826,0.012487219414302055,0.08785650802205373,0.5017391304347826
happy,emotion_rating_mean__happy,Mel_subband_amplitude_mean_10,24,0.5719453127173103,0.0034993270000490333,0.497391304347826,0.013398524953480467,0.09101756606329835,0.497391304347826
happy,emotion_rating_mean__happy,spectral_kurtosis_Std,24,-0.4088221604670934,0.04730611468479305,-0.48521739130434777,0.016244462180402992,0.10667196831797966,0.48521739130434777
happy,emotion_rating_mean__happy,Mel_subband_amplitude_std_5,24,-0.5070822058026823,0.011437763914294194,-0.4721739130434783,0.019822625417352614,0.1259695873296279,0.4721739130434783
happy,emotion_rating_mean__happy,spectral_rolloff85_Mean,24,0.3992953920743155,0.05323740671558698,0.4669565217391304,0.02142193167821524,0.12953260078965265,0.4669565217391304
happy,emotion_rating_mean__happy,spectral_skewness_Std,24,-0.3911694625283745,0.05873924230986412,-0.4660869565217391,0.021698354446997654,0.12953260078965265,0.4660869565217391
happy,emotion_rating_mean__happy,spectral_spectentropy_Mean,24,0.5176173652649334,0.009580985337358818,0.46173913043478254,0.023124059270195143,0.13398351988907184,0.46173913043478254
happy,emotion_rating_mean__happy,spectral_ddmfcc_Mean_8,24,0.560552025504273,0.004383221360161987,0.4556521739130434,0.02524605564204541,0.1420992274709413,0.4556521739130434
happy,emotion_rating_mean__happy,window_t0_s,24,0.4127762377001557,0.04500166899297672,0.4504347826086956,0.027187078784635624,0.1487737366825894,0.4504347826086956
