target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho,fdr_q
istc_mean_max_unique_per_sec,mtb_active_note_count,2880,0.3530617951678324,2.6368980394009667e-85,0.2735045000136166,1.3913216262573093e-50,0.2735045000136166,7.207046024012863e-49
istc_mean_max_unique_per_sec,active_note_count,2880,0.352808156792511,3.5417041494039475e-85,0.273057946766168,2.036913428197576e-50,0.273057946766168,8.792676298386203e-49
istc_mean_max_unique_per_sec,mtb_n_note_onsets,2880,0.3064257821764655,1.1568439177231505e-63,0.2499608435774589,2.8311810616153524e-42,0.2499608435774589,4.582974343489852e-41
istc_mean_max_unique_per_sec,mtb_note_onset_density_per_s,2880,0.3064257821764655,1.1568439177231505e-63,0.2499608435774589,2.8311810616153524e-42,0.2499608435774589,4.582974343489852e-41
istc_mean_max_unique_per_sec,n_note_onsets,2880,0.3062016239102042,1.4397863626694537e-63,0.2497138783104549,3.424890940334221e-42,0.2497138783104549,4.928037519703129e-41
istc_mean_max_unique_per_sec,note_onset_density_per_s,2880,0.3062016239102042,1.4397863626694537e-63,0.2497138783104549,3.424890940334221e-42,0.2497138783104549,4.928037519703129e-41
istc_mean_max_unique_per_sec,mean_midi_ioi_s,2809,-0.2613992696382085,4.149941016249733e-45,-0.2314758632011761,1.7525057662401002e-35,0.2314758632011761,1.7457653594468692e-34
istc_mean_max_unique_per_sec,mtb_ioi_mean_s,2809,-0.2617975895347723,3.027119219664174e-45,-0.2314142417367621,1.8287060956421797e-35,0.2314142417367621,1.7542032547086094e-34
istc_mean_max_unique_per_sec,mtb_pitch_std,2874,0.2456151700354149,9.439904339558731e-41,0.2294467497913128,1.2056676100162556e-35,0.2294467497913128,1.249071643976841e-34
istc_mean_max_unique_per_sec,std_pitch,2809,0.2337207813268476,3.686039839762854e-36,0.2101472252436112,2.0961290982440448e-29,0.2101472252436112,1.8096581214840253e-28
istc_mean_max_unique_per_sec,spectral_centroid_hz_mean,2880,-0.2590198330284446,2.267233829584215e-45,-0.2038664326565615,2.140636859370827e-28,0.2038664326565615,1.6800755956880124e-27
istc_mean_max_unique_per_sec,mtb_ioi_cv,2702,0.2044460118560526,6.901970716979017e-27,0.2007255401661672,5.867339073612535e-26,0.2007255401661672,3.934456490562591e-25
istc_mean_max_unique_per_sec,cv_midi_ioi,2702,0.203506802057523,1.189413470774193e-26,0.2001630130027813,8.079591383247972e-26,0.2001630130027813,5.231535420653062e-25
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_mean,2880,-0.2451489507525833,1.1128020755049872e-40,-0.1898567044781135,8.857222629982156e-25,0.1898567044781135,5.461953955155663e-24
istc_mean_max_unique_per_sec,spectral_bandwidth_hz_std,2880,-0.2304615053033509,5.017422161912076e-36,-0.1759685811093938,1.8401358396934517e-21,0.1759685811093938,1.0591004055124533e-20
istc_mean_max_unique_per_sec,mir_centroid,2880,-0.199727138312954,2.6771155341421353e-27,-0.1654706553210155,3.9659590458698193e-19,0.1654706553210155,2.1399654018339233e-18
istc_mean_max_unique_per_sec,spectral_centroid_hz_std,2880,-0.2067942164974903,3.467209172194705e-29,-0.164017220701106,8.123036143557052e-19,0.164017220701106,4.293604818737299e-18
istc_mean_max_unique_per_sec,spectral_rolloff_hz_std,2880,-0.1290406222196208,3.623988009073384e-12,-0.1410196659166094,2.9014001724818716e-14,0.1410196659166094,1.4451204705246243e-13
istc_mean_max_unique_per_sec,mtb_ioi_std_s,2809,0.1306562185273126,3.6138445624135714e-12,0.1372980473260162,2.7076226178706133e-13,0.1372980473260162,1.2522754607651587e-12
istc_mean_max_unique_per_sec,mtb_duration_std_s,2874,0.051456547216882,0.0057943423697568,0.1299044486352992,2.7342272424113568e-12,0.1299044486352992,1.220973889283692e-11
istc_mean_max_unique_per_sec,spectral_rolloff_hz_mean,2880,-0.1648605681584624,5.362813613738795e-19,-0.1260428717845406,1.1344534516935303e-11,0.1260428717845406,4.663864190295625e-11
istc_mean_max_unique_per_sec,mir_roughness,2880,0.1236085728469831,2.8101214165475544e-11,0.1150370033186553,5.962566681250778e-10,0.1150370033186553,2.2710364271234584e-09
istc_mean_max_unique_per_sec,rms_mean,2880,0.1357603825034689,2.5471208728967946e-13,0.1142008918175573,7.940174403291103e-10,0.1142008918175573,2.937864529217708e-09
istc_mean_max_unique_per_sec,mir_rms,2880,0.1288761687890984,3.8607816409969304e-12,0.1091176387556972,4.335349173337452e-09,0.1091176387556972,1.4971405811925333e-08
istc_mean_max_unique_per_sec,mir_brightness,2880,-0.1241389826629802,2.3096093649134848e-11,-0.0722184603544555,0.0001048727684038,0.0722184603544555,0.000267440431960299
istc_mean_max_unique_per_sec,rms_std,2880,0.0537937185984144,0.0038805554620965,0.0718469155285625,0.0001138407661577,0.0718469155285625,0.0002835072926427336
istc_mean_max_unique_per_sec,onset_strength_mean,2880,0.0454243882435295,0.0147716909379695,0.0651581298985629,0.0004670894603296,0.0651581298985629,0.0010705855772156318
istc_mean_max_unique_per_sec,mean_pitch,2874,-0.0712833693388347,0.0001309401177728,-0.0525083519509374,0.004867489811007,0.0525083519509374,0.00900485615036295
istc_mean_max_unique_per_sec,zero_crossing_rate_std,2880,-0.0703336418278484,0.0001583854965938,-0.0523768689441518,0.0049303829229445,0.0523768689441518,0.00905651898611791
istc_mean_max_unique_per_sec,mtb_pitch_mean,2874,-0.0712215961722374,0.0001327173328049,-0.0522140603605359,0.0051122819066803,0.0522140603605359,0.009195007040487485
istc_mean_max_unique_per_sec,onset_strength_std,2880,0.0330128067077153,0.0764997233339965,0.051161579089854,0.0060285398023475,0.051161579089854,0.010663324002969753
istc_mean_max_unique_per_sec,mean_velocity,2874,-0.0757739289648495,4.776598858184569e-05,-0.0508761418992529,0.0063712862836655,0.0508761418992529,0.011074920452814527
istc_mean_max_unique_per_sec,mtb_duration_mean_s,2874,-0.0103566193450797,0.5789024477160082,0.0403608227204401,0.0304895350907427,0.0403608227204401,0.04564618259249918
istc_mean_max_unique_per_sec,mean_note_duration_s,2874,-0.0106238979226306,0.5691442288006201,0.0400294604266646,0.031881444761119,0.0400294604266646,0.04745571375361966
istc_mean_max_unique_per_sec,mtb_approx_polyphony,2880,0.0145817829224247,0.4340720944636569,0.0182590648676342,0.3273129790188134,0.0182590648676342,0.39066387818374504
istc_mean_max_unique_per_sec,approx_polyphony,2874,0.0096092755847201,0.6065962242762087,0.0137401597154131,0.4615358768320713,0.0137401597154131,0.5289282836261349
