level,term,coef,se,p_value,n_obs,n_tracks
100ms_bin,Intercept,0.06572677562410917,0.050869176558126894,0.19633127937970574,24131,24
100ms_bin,midi_active_note_count,-0.00035947268084663894,0.008432948281947177,0.9659987403450665,24131,24
100ms_bin,midi_note_onset_count_100ms,-0.003683309525123909,0.007639750496919286,0.6297176332080462,24131,24
100ms_bin,midi_velocity_mean,-0.006746986674427209,0.009802988149707618,0.49129021893200564,24131,24
100ms_bin,midi_pitch_mean,0.01683492182737054,0.0067511274079038435,0.012643857523767702,24131,24
100ms_bin,audio100_rms,-0.003968750246166902,0.010291939712101721,0.6997801013821547,24131,24
100ms_bin,audio100_spectral_bandwidth_hz,-0.04695947191544949,0.018234734475037363,0.01001601606739779,24131,24
100ms_bin,audio100_spectral_centroid_hz,-0.01286300564573889,0.015640425520700486,0.41083764985490623,24131,24
100ms_bin,Group Var,0.0656100546162551,0.01584356544648359,3.456189403153437e-05,24131,24
100ms_bin,group_var (stim_name random intercept variance),0.06094971340325152,,,24131,24
