participant_id,trial_id,stim_name,wtc_code,emotion_term,trial_mean_rating,trial_sd_rating,trial_min_rating,trial_max_rating,trial_final_rating,n_samples,completed_audio,audio_duration_s,response_duration_s,missed_sample_count,familiarity,enjoyment,playback_difficulty,trial_order,istc_mean_max_unique_per_sec,mean_tap_count_per_100ms_bin,mean_unique_participants_per_100ms_bin,tapping_study_n_participants,duration_s,simple_lowenergy_Mean,simple_brightness_Mean,simple_roughness_Mean,simple_centroid_Mean,rhythm_tempo_Mean,dynamics_rms_Mean,notedensity_per_s,pitch_mean,pitch_std,ioi_mean_s,ioi_cv,beta_perf,beta_score
1,2,track10,wtc1p03,sad,1.4424242424242424,1.0036499659352176,1.0,5.0,1.0,330,True,83.25160000002384,89.62430000001191,1.0,,,,1.0,7.234567901234568,2.918242830994509,2.918242830994509,13,82.277375,0.564741641337386,0.138903115949354,454.299091129585,955.20759059785,128.566976866947,0.867917303007644,10.2802344166223,65.8708074534161,10.0215293104567,0.0972740464344937,0.698889924365613,-1.2481,-1.2469
3,6,track24,wtc1p17,happy,4.1096345514950166,1.6667153924217386,1.0,5.0,5.0,301,True,76.07479999995232,80.9325,0.0,,,,1.0,6.87012987012987,2.0870406189555126,2.0870406189555126,11,74.9687708333333,0.57691024357691,0.153547895470363,348.095837686728,955.447199921652,113.100983541648,0.893241188017094,9.34767545212138,62.3779761904762,9.63042821539888,0.106978468082464,0.893713562430838,-1.0328,-0.9849
3,11,track12,wtc1p04,happy,2.4016,0.7639707337662088,1.0,3.0,3.0,625,True,156.84870000004767,159.07960000014305,0.0,,,,2.0,5.286624203821656,1.4163498098859315,1.414765525982256,12,155.84425,0.538350449293967,0.116633622922048,438.496115251889,880.484397662339,127.925555008647,0.91623045702365,4.3486177417564,63.6295180722892,10.4606467479691,0.229958129084968,0.786149747869222,-0.3545,-0.5101
3,16,track6,wtc1p04,happy,2.429037520391517,0.8727568185217427,1.0,3.0,3.0,613,True,153.91880000019074,155.78540000009536,0.0,,,,3.0,4.664516129032258,1.4522661523625844,1.4522661523625844,12,152.922729166667,0.556500408830744,0.116038633746626,305.188064356151,879.321048703528,111.62025477803,0.873671516520163,4.8276198779425,63.7742382271468,10.2231822193168,0.207141412390197,0.901583368698466,-0.2648,-0.5101
3,22,track5,wtc2p01,happy,2.3624382207578254,0.5269370855558777,1.0,3.0,3.0,607,True,152.49109999990463,158.83609999990463,0.0,,,,4.0,5.9605263157894735,1.581806282722513,1.581806282722513,11,151.491166666667,0.55694948827996,0.283303717699768,198.719283777331,1372.87847073573,104.113011808584,0.865894219601511,5.59212796979665,61.9142512077295,10.5704815792427,0.178822803305119,0.771021857746449,-0.3205,-0.1693
3,27,track17,wtc2f07,happy,1.0,0.0,1.0,1.0,1.0,458,True,116.20570000004768,120.66960000014303,0.0,,,,5.0,6.155172413793103,1.5387912558936991,1.5383626232318903,12,114.201104166667,0.569739435077732,0.141491615004114,350.218231276185,946.50228563803,132.744514994658,0.853485756679423,6.32840041654336,62.5817655571635,8.923355631088,0.15801781400966,1.16017808589658,-0.7004,-0.9718
3,33,track13,wtc1p15,happy,1.4378109452736318,0.5360626680525346,1.0,3.0,2.0,201,True,51.06679999995232,53.71740000009537,0.0,,,,6.0,5.882352941176471,2.2873900293255134,2.2844574780058653,11,50.0420833333333,0.5325,0.119025455393373,781.363377409782,879.97867213876,153.967382126685,0.909304177795278,13.0264532434709,62.6595041322314,10.2975482399311,0.0767668667218545,0.565420911658314,-0.417,-0.2511
3,35,track8,wtc1f03,happy,2.618955512572534,0.782480447754324,1.0,3.0,3.0,517,True,130.94820000004768,132.33590000009536,0.0,,,,7.0,6.846153846153846,1.9388379204892967,1.938073394495413,11,128.962416666667,0.549932131083964,0.111241589134918,374.694132862244,857.223524817269,120.307988103436,0.923512351659645,11.4582677821653,63.337752965806,10.1044312270494,0.0872732265479512,0.847894678197135,-0.6684,-0.6974
3,43,track15,wtc1p03,happy,2.2103448275862068,1.4672538262744785,1.0,4.0,4.0,290,True,73.13619999980926,75.54919999980926,0.0,,,,8.0,6.533333333333333,2.992734478203434,2.984147952443857,12,72.1329166666667,0.561373092926491,0.156917047425785,225.213019342757,1078.23064944086,130.034820779388,0.868303445803126,11.7247477610248,65.8479604449938,10.0252341973295,0.0852896813118813,0.611336572105848,-1.0295,-1.2469
3,45,track14,wtc1p17,happy,3.797153024911032,0.7545995210799121,1.0,4.0,4.0,281,True,70.87420000004768,78.564,0.0,,,,9.0,7.726027397260274,2.5159755268524813,2.507817811012917,12,69.8735625,0.531686358754028,0.214418024478562,415.161648716329,1122.82423516138,113.846084341664,0.867739341842776,10.2490566037736,62.3029411764706,9.64125234912813,0.0975699558173785,0.889957659111444,-0.9336,-0.9849
