trial_row,stim_name,alignment_offset_s,usable,n_taps,mean_ioi_s,perceived_tempo_bpm,sd_ioi_s,trial_cv_ioi_pct,median_ioi_s,first_tap_s,last_tap_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
0,track12,0.9890625,True,238,0.6509982738780208,92.16614299539964,0.1121303483534733,17.224369534116995,0.6320454545454623,3.7093465909090906,157.99593750000005,wtc1p04,wtc1p04,2,-0.3545,-0.5101
1,track1,1.06510416666667,True,115,0.4340131578947368,138.24465666211916,0.0640990665183128,14.76892240531083,0.4418181818181779,4.030123106060602,53.5076231060606,wtc1p15,wtc1p15,2,-0.2186,-0.2511
2,track4,1.97366666666667,True,267,0.4439482228298018,135.1508957903914,0.1858629355919636,41.865903732476184,0.4990909090909099,-1.220939393939397,116.86928787878789,wtc2f06,wtc2f06,1,-0.9994,-0.9258
3,track16,1.222125,True,213,0.4862392795883362,123.3960367224912,0.0922608443780234,18.97437090153105,0.4704545454545439,3.750375,106.83310227272727,wtc1f05,wtc1f05,3,-0.5387,-0.6812
4,track3,1.98908333333333,True,248,0.4777585572322414,125.58644757216484,0.1594437522366194,33.373290718289084,0.5297727272727144,3.4047803030303063,121.41114393939397,wtc2f06,wtc2f06,1,-1.0934,-0.9258
5,track19,1.03791666666667,True,176,0.3937558441558441,152.37869073062618,0.2600367559216208,66.04010068195996,0.4172727272727243,1.25708333333333,70.16435606060604,wtc1p03,wtc1p03,2,-1.3369,-1.2469
6,track18,0.9896041666666668,True,274,0.5228496503496503,114.75574280268836,0.062085404549082,11.874427860392204,0.5215909090909037,3.7067594696969697,146.4447140151515,wtc2p01,wtc2p01,1,-0.2781,-0.1693
7,track8,1.97,True,225,0.560445413961039,107.05770536320436,0.0749123792340132,13.3665790401527,0.5625,5.2484090909090915,130.7881818181818,wtc1f03,wtc1p03,3,-0.6684,-0.6974
8,track21,1.95889583333333,True,250,0.5358680175246441,111.96786902334706,0.175790939829624,32.80489487722405,0.5543181818181893,3.764285984848488,137.19542234848484,wtc1f05,wtc1f05,3,-0.539,-0.6812
9,track22,2.03095833333333,True,139,0.6198320158102767,96.80042087139508,0.0549342158447726,8.862758690023414,0.612613636363637,5.794950757575762,91.33176893939394,wtc2f07,wtc2f07,2,-0.8852,-0.9718
10,track17,1.99295833333333,True,71,1.587038961038961,37.80625521677223,0.2539652359594129,16.002457544782246,1.520795454545457,4.002268939393943,115.09499621212122,wtc2f07,wtc2f07,2,-0.7004,-0.9718
11,track6,0.986625,True,89,1.645730888429752,36.457965528767616,0.4839765913666295,29.408003141291715,1.7048863636363478,6.720647727272728,151.5449659090909,wtc1p04,wtc1p04,2,-0.2648,-0.5101
12,track9,1.972,True,104,1.3282744924977938,45.1713861396007,0.1420084994241511,10.691201270989325,1.3193181818181827,7.973000000000001,144.78527272727274,wtc1f03,wtc1p03,3,-0.6237,-0.6974
13,track7,1.050375,True,135,1.0664297829036635,56.26249469199241,0.1208485406455772,11.3320672943447,1.0442045454545408,7.078261363636364,149.9798522727273,wtc2p24,wtc2p24,1,-0.5012,-0.3163
