target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
kde_curve_r_mean,sample_size_for_peak_f_ge_0p8,24,-0.7605621057564185,1.605352424198815e-05,-0.679173403726875,0.0002628243624278907,0.679173403726875
kde_curve_r_mean,bimodal_score,24,-0.38791610158778966,0.061061079500978735,-0.5265450210025294,0.008209779949060723,0.5265450210025294
kde_curve_r_mean,unique_onset_count,24,0.4982849657221433,0.013206888142163194,0.4339130434782608,0.03413496013263738,0.4339130434782608
kde_curve_r_mean,rhythm_attack_time_Mean,24,-0.2733219435379274,0.19625631837332153,-0.4260869565217391,0.03788430481237119,0.4260869565217391
kde_curve_r_mean,n_notes,24,0.4927887403812215,0.014422006287170778,0.40086956521739125,0.05221946082129626,0.40086956521739125
kde_curve_r_mean,n_raw_taps_window,24,0.3883628156993953,0.06073815332351355,0.3913043478260869,0.05864447105666786,0.3913043478260869
kde_curve_r_mean,n_filtered_taps_window,24,0.3012146096115408,0.1526198866007555,0.38921505595024647,0.0601257250825778,0.38921505595024647
kde_curve_r_mean,spectral_centroid_Std,24,0.3764304322747256,0.06982669223538007,0.3834782608695652,0.06434139809221924,0.3834782608695652
kde_curve_r_mean,kde_curve_r_sd,24,-0.2495748390764719,0.23954776610788026,-0.3817391304347826,0.06566315225644623,0.3817391304347826
kde_curve_r_mean,spectral_spectentropy_Std,24,0.267128469199274,0.20699261218168752,0.3695652173913043,0.0755060451516858,0.3695652173913043
kde_curve_r_mean,spectral_rolloff85_Std,24,0.3778928128495332,0.06866019719450073,0.35826086956521735,0.0856122550865117,0.35826086956521735
kde_curve_r_mean,duration_mean_s,24,-0.4899383056728518,0.015087367610523834,-0.35130434782608694,0.0923172546101079,0.35130434782608694
kde_curve_r_mean,n_taps,24,0.3520968340954319,0.09153423728316043,0.3426086956521739,0.1012404900705785,0.3426086956521739
kde_curve_r_mean,rhythm_attack_time_Std,24,-0.2820677855273643,0.1817514699486483,-0.3417391304347826,0.10216672120818253,0.3417391304347826
kde_curve_r_mean,Mel_subband_amplitude_std_1,24,-0.2991615189443101,0.1555745130165691,-0.3356521739130434,0.10882666589446974,0.3356521739130434
kde_curve_r_mean,consensus_median_ioi_s,24,-0.2262747025025136,0.2876886447564018,-0.321949165794179,0.12497907842055127,0.321949165794179
kde_curve_r_mean,consensus_tempo_bpm,24,0.18890078340159042,0.3766876519636079,0.321949165794179,0.12497907842055127,0.321949165794179
kde_curve_r_mean,pitch_std,24,-0.3106881222014546,0.1395000380427553,-0.32,0.12741057282041737,0.32
kde_curve_r_mean,spectral_rolloff85_Mean,24,0.22465016875282148,0.29125620669768715,0.31652173913043474,0.13183422455052596,0.31652173913043474
kde_curve_r_mean,notedensity_per_s,24,0.2956297505786705,0.16075113678558978,0.31652173913043474,0.13183422455052596,0.31652173913043474
kde_curve_r_mean,ioi_mean_s,24,-0.42120065961482994,0.040385524179341076,-0.31652173913043474,0.13183422455052596,0.31652173913043474
kde_curve_r_mean,spectral_ddmfcc_Mean_4,24,-0.3061910779508092,0.14562340485724237,-0.3052173913043478,0.1469740173445431,0.3052173913043478
kde_curve_r_mean,duration_std_s,24,-0.49111524529939077,0.01480966069933882,-0.2939130434782608,0.16331057776591754,0.2939130434782608
kde_curve_r_mean,beta_perf,24,-0.21542888656189924,0.31202787954700106,-0.28782608695652173,0.17261549938271947,0.28782608695652173
kde_curve_r_mean,optimized_beat_cv_ioi,24,-0.316643600329471,0.13167739618994662,-0.2817391304347826,0.1822827700109572,0.2817391304347826
kde_curve_r_mean,Mel_subband_amplitude_mean_23,24,0.2029455384662912,0.3415543070980924,0.2756521739130435,0.1923169760830011,0.2756521739130435
kde_curve_r_mean,optimized_median_ioi_s,24,-0.18264350708226412,0.39298323973717314,-0.27478260869565213,0.19378063586855726,0.27478260869565213
kde_curve_r_mean,n_optimized_beats,24,0.134822654713516,0.5299305384325352,0.27148145872374013,0.19940631376153473,0.27148145872374013
kde_curve_r_mean,spectral_dmfcc_Mean_2,24,-0.11529546122213277,0.5916324002897146,-0.2669565217391304,0.20729622036281856,0.2669565217391304
kde_curve_r_mean,Mel_subband_amplitude_mean_1,24,-0.20986715476510337,0.3249836457842096,-0.2652173913043478,0.2103838978731484,0.2652173913043478
kde_curve_r_mean,pitch_min,24,0.2143523260817214,0.31451061122806423,0.2603622682379583,0.2191669443722725,0.2603622682379583
kde_curve_r_mean,Mel_subband_amplitude_mean_35,24,-0.1011529897355331,0.6381394432018166,-0.2582608695652174,0.2230432181317936,0.2582608695652174
kde_curve_r_mean,spectral_kurtosis_Std,24,-0.19454190584006598,0.3623348068771079,-0.2573913043478261,0.2246604898877398,0.2573913043478261
kde_curve_r_mean,Mel_subband_amplitude_mean_2,24,-0.164426440189448,0.4426249724096629,-0.2573913043478261,0.2246604898877398,0.2573913043478261
kde_curve_r_mean,Mel_subband_amplitude_std_2,24,-0.21634371019379622,0.3099276085159761,-0.25652173913043474,0.22628553340548088,0.25652173913043474
kde_curve_r_mean,spectral_rolloff95_Std,24,0.19855181045684261,0.35232898099684634,0.25217391304347825,0.23452757092161952,0.25217391304347825
kde_curve_r_mean,spectral_centroid_Mean,24,0.19822745876185072,0.35313222552665013,0.2478260869565217,0.24296488702038951,0.2478260869565217
kde_curve_r_mean,spectral_ddmfcc_Mean_5,24,-0.2170552297538595,0.30830010420671494,-0.2478260869565217,0.24296488702038951,0.2478260869565217
kde_curve_r_mean,consensus_mean_ioi_s,24,-0.18257225493410317,0.3931710537723032,-0.24434782608695652,0.24985580217173994,0.24434782608695652
kde_curve_r_mean,Mel_subband_amplitude_mean_9,24,0.21377025318870707,0.3158579853668624,0.2417391304347826,0.2551064662177334,0.2417391304347826
kde_curve_r_mean,spectral_mfcc_Mean_2,24,-0.18395394911791793,0.38953806063586577,-0.23913043478260865,0.260427936802927,0.23913043478260865
kde_curve_r_mean,Mel_subband_amplitude_mean_34,24,-0.004444232559026769,0.9835568084080502,-0.23652173913043475,0.265820294159618,0.23652173913043475
kde_curve_r_mean,spectral_irregularity_Mean,24,0.17323457186194455,0.4182188141106943,0.23217391304347823,0.2749652411831776,0.23217391304347823
kde_curve_r_mean,spectral_dmfcc_Mean_12,24,0.20863798917739435,0.327890185776052,0.2217391304347826,0.2977178574717595,0.2217391304347826
kde_curve_r_mean,ioi_std_s,24,-0.24439782381678643,0.24975585993061852,-0.22,0.3016203705478415,0.22
kde_curve_r_mean,Mel_subband_amplitude_std_9,24,0.17703179334454955,0.40792939696756125,0.21652173913043476,0.30951989756230047,0.21652173913043476
kde_curve_r_mean,pitch_max,24,-0.2627635525765907,0.21479286776265455,-0.2081672042941426,0.32900756485085925,0.2081672042941426
kde_curve_r_mean,Mel_subband_amplitude_mean_37,24,-0.054929629573648484,0.7987803959849101,-0.2069565217391304,0.3318915676831471,0.2069565217391304
kde_curve_r_mean,spectral_mfcc_Mean_12,24,-0.26498868402552345,0.21079223741232322,-0.2052173913043478,0.3360608896745526,0.2052173913043478
kde_curve_r_mean,spectral_brightness_Std,24,0.2083921515889008,0.3284733802777777,0.20434782608695648,0.33815724851317586,0.20434782608695648
kde_curve_r_mean,peak_f_sd,24,-0.06864710205390762,0.7499358415842055,-0.2026086956521739,0.34237332678092103,0.2026086956521739
kde_curve_r_mean,Mel_subband_amplitude_std_38,24,-0.06684355116737425,0.7563091910484021,-0.20173913043478262,0.3444930314073976,0.20173913043478262
kde_curve_r_mean,Mel_subband_amplitude_std_40,24,-0.13259397333861744,0.5368157844841406,-0.19826086956521738,0.353049435242404,0.19826086956521738
kde_curve_r_mean,spectral_dmfcc_Mean_8,24,0.2500832930438386,0.23856017282610734,0.19565217391304346,0.35954796323422916,0.19565217391304346
kde_curve_r_mean,Mel_subband_amplitude_mean_13,24,0.1610052565733819,0.45230455711625467,0.19217391304347822,0.3683204887556275,0.19217391304347822
kde_curve_r_mean,spectral_mfcc_Mean_5,24,-0.08471987136255923,0.693881253336271,-0.19043478260869565,0.3727527778427131,0.19043478260869565
kde_curve_r_mean,Mel_subband_amplitude_mean_36,24,-0.13020285148171887,0.5442490567469811,-0.18956521739130433,0.374980391143915,0.18956521739130433
kde_curve_r_mean,Mel_subband_amplitude_mean_17,24,0.16027941386406283,0.45437238807230973,0.1843478260869565,0.38850589974170063,0.1843478260869565
kde_curve_r_mean,spectral_ddmfcc_Mean_11,24,0.1898569185531282,0.3742322730344435,0.18173913043478263,0.3953708419767238,0.18173913043478263
kde_curve_r_mean,spectral_flatness_Std,24,0.23813386869059955,0.2624795377590802,0.17739130434782607,0.40696255139715665,0.17739130434782607
kde_curve_r_mean,spectral_dmfcc_Mean_1,24,-0.1985276947842088,0.3523886655029421,-0.17478260869565218,0.41400702240858334,0.17478260869565218
kde_curve_r_mean,Mel_subband_amplitude_std_5,24,-0.22941633103956655,0.28086758312746074,-0.17304347826086955,0.41874034957223477,0.17304347826086955
kde_curve_r_mean,tonal_keyclarity_Std,24,-0.14335381513028392,0.503966705247765,-0.17043478260869566,0.4258955363074478,0.17043478260869566
kde_curve_r_mean,Mel_subband_amplitude_mean_7,24,-0.14056120039823458,0.5123964522535727,0.1695652173913043,0.4282952504035892,0.1695652173913043
kde_curve_r_mean,rhythm_tempo_Std,24,-0.15676984864117566,0.46444021166009297,-0.16869565217391302,0.4307022617209813,0.16869565217391302
kde_curve_r_mean,spectral_flatness_Mean,24,0.19158702090074814,0.36981279945900153,0.1678260869565217,0.4331165526494355,0.1678260869565217
kde_curve_r_mean,Mel_subband_amplitude_mean_38,24,-0.06925875317227502,0.747777979017507,-0.1678260869565217,0.4331165526494355,0.1678260869565217
kde_curve_r_mean,spectral_irregularity_Std,24,0.07699460557746196,0.7206498290863481,0.1652173913043478,0.44040292312830936,0.1652173913043478
kde_curve_r_mean,spectral_brightness_Mean,24,0.1304945751266868,0.5433396348149719,0.1643478260869565,0.4428461512393397,0.1643478260869565
kde_curve_r_mean,spectral_mfcc_Mean_9,24,-0.02083697810253854,0.9230117566322612,0.16347826086956518,0.4452965670426073,0.16347826086956518
kde_curve_r_mean,Mel_subband_amplitude_mean_18,24,0.0911523926463609,0.671858444567023,0.16260869565217392,0.44775415138241526,0.16260869565217392
