target,feature,n,standardized_beta,se,t,r2,abs_beta
tap_count_100ms,midi_active_note_count,24816,0.03229121096148353,0.006344904192209851,5.089314192646239,0.0010427223053584012,0.03229121096148353
tap_count_100ms,midi_pitch_std,24131,0.032119971907810255,0.006434372409414947,4.991935477004643,0.0010316925953592904,0.032119971907810255
tap_count_100ms,midi_pitch_max,24131,0.031140089768284508,0.006434572037298478,4.839496641414402,0.0009697051907775478,0.031140089768284508
tap_count_100ms,midi_velocity_max,24131,0.028918292512604343,0.006435001746415575,4.493905930051768,0.0008362676418451898,0.028918292512604343
tap_count_100ms,midi_pitch_range,24131,0.028438815944815996,0.006435090305610698,4.419334397778553,0.0008087662523437178,0.028438815944815996
tap_count_100ms,midi_velocity_std,24131,0.02625440939560245,0.006435475012584704,4.079638152612165,0.0006892940127123381,0.02625440939560245
tap_count_100ms,midi_velocity_range,24131,0.023281138474313057,0.006435949238763747,3.61735893292528,0.0005420114086606143,0.023281138474313057
tap_count_100ms,midi_velocity_mean,24131,0.019030879852060593,0.0064365282375258214,2.95669950426867,0.00036217438794394763,0.019030879852060593
tap_count_100ms,midi_note_onset_count_100ms,24816,0.01810389462902252,0.006347174365882322,2.8522762386178147,0.00032775100073823005,0.01810389462902252
tap_count_100ms,midi_pitch_mean,24131,0.013365726506250829,0.006437119078028083,2.0763522225021305,0.00017864264504008354,0.013365726506250829
tap_count_100ms,midi_velocity_min,24131,0.005807537442782845,0.006437585562512984,0.9021297480997948,3.372749114949336e-05,0.005807537442782845
tap_count_100ms,midi_pitch_min,24131,-0.004739481043710187,0.00643762182272505,-0.7362161328339328,2.2462680563717363e-05,0.004739481043710187
