outcome,n_tracks,n_pieces,ms_between_piece,ms_within_piece,icc1_piece_variance_fraction_raw,pct_variance_between_piece,pct_variance_within_piece_performance
istc_mean_max_unique_per_sec,24,10,1.1991941198950768,0.42474255074622425,0.43478013914554176,43.478013914554175,56.52198608544583
emotion_happy,24,10,0.35119896209327217,0.058509823277395435,0.6784963513653838,67.84963513653838,32.150364863461625
emotion_sad,24,10,0.5114096531832567,0.06654662741915678,0.738235443804051,73.82354438040511,26.176455619594897
emotion_calm,24,10,0.5859122625026117,0.055295043134871324,0.8019157977514387,80.19157977514388,19.80842022485613
emotion_energetic,24,10,0.7383741139652613,0.023398442186245594,0.9280111734142025,92.80111734142025,7.198882658579753
rhythm_tempo_Mean,24,10,416.10183025825654,87.54201343347121,0.6129083347385633,61.29083347385633,38.70916652614367
notedensity_per_s,24,10,21.261612593598752,0.5477837438625756,0.9410124529269775,94.10124529269775,5.8987547073022455
dynamics_rms_Mean,24,10,0.00044279659474837926,0.0008471389102378629,-0.2521323633976208,0.0,100.0
simple_brightness_Mean,24,10,0.00395262750309232,0.0014593677421618006,0.41885913483481724,41.88591348348172,58.114086516518284
pitch_mean,24,10,4.544726352697949,0.012011052121283798,0.993758061516612,99.3758061516612,0.6241938483388054
duration_mean_s,24,10,0.12001023636011444,0.007111321187554159,0.8700904347093735,87.00904347093736,12.990956529062647
