stim_name,n_participants,split_iterations,kde_curve_r_mean,kde_curve_r_sd,peak_f_mean,peak_f_sd
track1,11,200,0.44438277053362485,0.05769620362959772,0.44028376194731406,0.06370502351939654
track10,13,200,0.5932422471755721,0.08497322590723798,0.5251589872350795,0.059952590546762684
track11,11,200,0.5098193075999127,0.0862623178186779,0.528638264603769,0.06812319100105604
track12,12,200,0.39408233335906556,0.07236653631934477,0.5058267641686086,0.0681773776237853
track13,11,200,0.599018228171932,0.07229552862065487,0.5215205253002593,0.06289897721852672
track14,12,200,0.7048553311395012,0.05644324082176764,0.8494720960251431,0.05984910948142715
track15,12,200,0.6082232156478509,0.05587812570870704,0.4862184038568864,0.057416249338668304
track16,11,200,0.6725318742714932,0.06639810379689359,0.7480673693586373,0.08997862422575006
track17,12,200,0.5464487734708453,0.08900651132264877,0.5475596954180346,0.04243018657951008
track18,10,200,0.5781015005637251,0.07029906799938422,0.6676326489652322,0.04883266834248579
track19,12,200,0.5602953796357518,0.09056925339013602,0.43202429641725415,0.08691607696588288
track2,12,200,0.7112486191026934,0.03986080784971756,0.6021486019917294,0.07389540435657654
track20,12,200,0.6788148986781226,0.12569648319478452,0.7598687160275549,0.14253726395575153
track21,13,200,0.4829725052064174,0.0900007970217433,0.4743326819960275,0.06899723587460282
track22,11,200,0.536394815474132,0.11695902635821366,0.6110311016953195,0.08616962542877091
track23,11,200,0.585398883990773,0.10994438313743383,0.506631343021872,0.09885186703541941
track24,11,200,0.5693893731735442,0.06178465238380307,0.6815631021106653,0.04911569776629516
track3,12,200,0.6923236388192677,0.0591073779009386,0.6827993507890969,0.04988325960423869
track4,11,200,0.45641345904120484,0.05746907717121134,0.5521821988076722,0.06849599571221919
track5,11,200,0.4725817745461613,0.10633619551858502,0.5571641689525295,0.08207647570630851
track6,12,200,0.33735394926659745,0.05859876930633544,0.3515783622833129,0.04612377262786883
track7,12,200,0.8132359731727267,0.0600288184325885,0.9198678208634619,0.02857738939776971
track8,11,200,0.7984097590308535,0.04594564356976388,0.8111406336994597,0.053939809886880574
track9,11,200,0.7080165316472903,0.05607479679632546,0.7068257954925002,0.04198485657414477
