wtc_code,column,n_performances,mean,sd,min,max,range,coefficient_of_variation
wtc1p03,istc_mean_max_unique_per_sec,4,6.711859478526145,0.4956435247768228,6.108108108108108,7.234567901234568,1.1264597931264602,0.07384593291361054
wtc1p03,rhythm_tempo_Mean,4,129.12772210859902,0.7472038243473226,128.465824056335,130.034820779388,1.5689967230530044,0.0057865484819666305
wtc1p03,notedensity_per_s,4,11.483338584587852,0.8478397228359624,10.2802344166223,12.2710491842324,1.9908147676101002,0.07383216271040503
wtc1p03,dynamics_rms_Mean,4,0.8969065225364117,0.033774922390665284,0.867917303007644,0.932958323829663,0.06504102082201901,0.037657126514312
wtc1p03,simple_brightness_Mean,4,0.12930260980218766,0.0247283680077909,0.0987102797719146,0.156917047425785,0.058206767653870395,0.19124415234635522
wtc1p03,pitch_mean,4,65.85079833737551,0.013987002087154766,65.8382716049383,65.8708074534161,0.03253584847780644,0.00021240444216780348
wtc1p03,duration_mean_s,4,0.11167413480059293,0.01922988844040272,0.0873995166459888,0.132920548654243,0.04552103200825419,0.17219643988950445
wtc1p03,emotion_happy,4,3.281288470273248,0.09858312968861689,3.1567049808429117,3.3663066729786726,0.20960169213576085,0.030044030136858836
wtc1p03,emotion_sad,4,1.6340638034149362,0.2214661259803718,1.4739471178269608,1.9616662793399953,0.4877191615130345,0.1355308926845711
wtc1p03,emotion_calm,4,2.1090732071228704,0.2166369494354276,1.9573274717982747,2.4267670317942223,0.46943955999594755,0.1027166571097628
wtc1p03,emotion_energetic,4,3.6266733894157213,0.21471132689602018,3.3526734926052333,3.836824470951852,0.4841509783466189,0.05920338112680488
wtc1p15,istc_mean_max_unique_per_sec,4,5.920366259711432,0.4783407732423514,5.568627450980392,6.607843137254902,1.0392156862745097,0.08079580760019844
wtc1p15,rhythm_tempo_Mean,4,145.90936695063948,10.408208807430137,130.667587735916,153.967382126685,23.299794390769023,0.07133338335263417
wtc1p15,notedensity_per_s,4,13.04593400820875,0.3966163687744671,12.5624541477597,13.5333133045227,0.9708591567629998,0.03040153112264009
wtc1p15,dynamics_rms_Mean,4,0.8865750874782649,0.026982689250779793,0.855857702101979,0.909304177795278,0.05344647569329897,0.03043474786498701
wtc1p15,simple_brightness_Mean,4,0.17487144378056174,0.060214082968081145,0.119025455393373,0.251281672351986,0.132256216958613,0.34433342383586124
wtc1p15,pitch_mean,4,62.67117862961902,0.02844509614496035,62.6384742951907,62.7042483660131,0.06577407082239972,0.0004538784297175626
wtc1p15,duration_mean_s,4,0.0966881210471807,0.007925107866191602,0.0852103791598473,0.102827874516307,0.017617495356459692,0.08196568286112833
wtc1p15,emotion_happy,4,3.173824810530332,0.37577248417638814,2.8126530612244895,3.576337368215541,0.7636843069910513,0.11839736173516088
wtc1p15,emotion_sad,4,1.5484921170141186,0.11421368217372356,1.410386567746974,1.6756279434850865,0.26524137573811246,0.07375800039199179
wtc1p15,emotion_calm,4,1.7955494502707803,0.2686234573190746,1.4436589661245207,2.0775510204081633,0.6338920542836426,0.14960515694990437
wtc1p15,emotion_energetic,4,3.781399602235803,0.209034612797686,3.4754616132167153,3.934871099050204,0.4594094858334885,0.05527969397206566
