target,feature,n_tracks,pearson_r,pearson_p_approx,spearman_r,spearman_p_approx,abs_pearson_r
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_7,24,-0.4706149526600587,0.0310346108635613,-0.3017391304347826,0.1667438644429498,0.4706149526600587
istc_mean_max_unique_per_sec,spectral_mfcc_Std_6,24,-0.3427503840419573,0.1162570948260655,-0.3565217391304348,0.1023034030432323,0.3427503840419573
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_6,24,-0.3427095375441487,0.1163006017797338,-0.3165217391304347,0.1469233668657366,0.3427095375441487
istc_mean_max_unique_per_sec,spectral_irregularity_Mean,24,0.3182438005655914,0.1447368480328161,0.3608695652173913,0.0981860232364614,0.3182438005655914
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_14,24,-0.2982755497417509,0.1716659675619611,-0.3991304347826086,0.0673928028924651,0.2982755497417509
istc_mean_max_unique_per_sec,rhythm_tempo_Std,24,-0.2973395968039654,0.1730145341760867,-0.348695652173913,0.1100598429924419,0.2973395968039654
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_3,24,0.28899418807332,0.185390901126519,0.3443478260869564,0.1145656147574423,0.28899418807332
istc_mean_max_unique_per_sec,tonal_mode_Std,24,-0.2831576402484717,0.1944278064134418,-0.237391304347826,0.2766553179257143,0.2831576402484717
istc_mean_max_unique_per_sec,spectral_mfcc_Std_2,24,-0.2828261966142903,0.1949505239433385,-0.4008695652173912,0.0662076623721316,0.2828261966142903
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_3,24,0.2820672157905885,0.1961513887267711,0.2408695652173912,0.2696785966142924,0.2820672157905885
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_12,24,-0.2716026403915229,0.2132642356440653,-0.3434782608695652,0.1154839516228226,0.2716026403915229
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_5,24,-0.2713068342092238,0.21376315964291,-0.2495652173913043,0.2527681948203001,0.2713068342092238
istc_mean_max_unique_per_sec,tonal_keyclarity_Std,24,-0.2484090076034822,0.2549730775804488,-0.3356521739130434,0.1240115777966337,0.2484090076034822
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_13,24,-0.2480263874877872,0.2557056676310823,-0.2495652173913043,0.2527681948203001,0.2480263874877872
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_13,24,-0.2406272327071797,0.270160721344893,-0.2773913043478261,0.2036693685178223,0.2406272327071797
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_7,24,-0.2377004683315703,0.2760302582012459,-0.1113043478260869,0.6100090077124313,0.2377004683315703
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_6,24,-0.2309978614192105,0.2897978492757991,-0.3913043478260869,0.072943860267631,0.2309978614192105
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_6,24,-0.2245341917639751,0.3035055536630915,-0.3495652173913043,0.1091757187490178,0.2245341917639751
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_7,24,-0.2215712187489122,0.3099309738263855,-0.2652173913043478,0.2242216608642823,0.2215712187489122
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_13,24,-0.2204770290172053,0.3123263530225728,-0.2982608695652174,0.1716870585681701,0.2204770290172053
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_7,24,-0.2201322146043499,0.3130837351210155,-0.1652173913043478,0.4489772530135154,0.2201322146043499
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_2,24,-0.2122011702073827,0.3308377051604387,-0.2382608695652173,0.2748997104309284,0.2122011702073827
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_4,24,-0.2006945475246766,0.3577306212886297,-0.0947826086956521,0.6640354048101961,0.2006945475246766
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_2,24,-0.1992948484554866,0.3610933377666676,-0.2843478260869565,0.1925592498499741,0.1992948484554866
istc_mean_max_unique_per_sec,spectral_mfcc_Std_4,24,-0.1984084296995942,0.3632331395822264,-0.2443478260869565,0.2628235473342701,0.1984084296995942
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_10,24,-0.1976448537376198,0.3650827486923957,-0.208695652173913,0.3388885563001967,0.1976448537376198
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_9,24,0.1964316853943263,0.3680334775043131,-0.0191304347826086,0.930141614684976,0.1964316853943263
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_12,24,-0.1931603313388906,0.3760639579391972,-0.1443478260869565,0.5083014339746978,0.1931603313388906
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_4,24,-0.1912194100354312,0.380879236752239,-0.177391304347826,0.4162701883067797,0.1912194100354312
istc_mean_max_unique_per_sec,rhythm_tempo_Mean,24,-0.1911005628360782,0.3811753127048212,-0.1234782608695652,0.5714967888805869,0.1911005628360782
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_6,24,0.1906719736833582,0.3822442007155465,0.1539130434782608,0.4806122540556823,0.1906719736833582
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_17,24,0.1902779323527113,0.3832285474492634,0.2260869565217391,0.3001738756441786,0.1902779323527113
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_5,24,0.187582270685515,0.3900040859058057,0.2165217391304347,0.3210866779586993,0.187582270685515
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_3,24,0.1859214808763603,0.3942145030866184,0.2791304347826086,0.2008490464410353,0.1859214808763603
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_3,24,0.1826938051300185,0.4024755541097451,0.2408695652173912,0.2696785966142924,0.1826938051300185
