target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
istc_mean_max_unique_per_sec,beta_perf,24,-0.5056681532718799,0.0117081534895599,-0.5747826086956522,0.0033043318250364,0.369578496537458,0.5747826086956522
istc_mean_max_unique_per_sec,pitch_std,24,-0.4011117892387129,0.0520641779781685,-0.5278260869565217,0.0080271299210726,0.5663986755187059,0.5278260869565217
istc_mean_max_unique_per_sec,unique_onset_count,24,0.3070408075477592,0.1444519731462059,0.4452173913043478,0.0292459893622881,0.7019037446949145,0.4452173913043478
istc_mean_max_unique_per_sec,n_notes,24,0.3058478951599807,0.1460984258497822,0.4095652173913042,0.0468661692649131,0.8435606267456467,0.4095652173913042
istc_mean_max_unique_per_sec,beta_score,24,-0.3048329549281408,0.1475097178890437,-0.4085815905120146,0.047449239628323,0.8435606267456467,0.4085815905120146
istc_mean_max_unique_per_sec,spectral_mfcc_Std_2,24,-0.2828261966142905,0.1805295103109684,-0.4008695652173912,0.0522194608212962,0.8435606267456467,0.4008695652173912
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_14,24,-0.2982755497417511,0.1568619049720361,-0.3991304347826086,0.0533449624122526,0.8435606267456467,0.3991304347826086
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_6,24,-0.2309978614192105,0.2774727628338992,-0.3913043478260869,0.0586444710566678,0.8435606267456467,0.3913043478260869
istc_mean_max_unique_per_sec,spectral_irregularity_Mean,24,0.3182438005655914,0.1296304861539729,0.3608695652173913,0.0831945927835428,0.9217598446790702,0.3608695652173913
istc_mean_max_unique_per_sec,spectral_mfcc_Std_6,24,-0.3427503840419573,0.1010901594585903,-0.3565217391304348,0.0872531045830988,0.9217598446790702,0.3565217391304348
istc_mean_max_unique_per_sec,mean_unique_participants_per_100ms_bin,24,0.4356194031777072,0.0333580242631977,0.3539130434782608,0.0897584560898227,0.9217598446790702,0.3539130434782608
istc_mean_max_unique_per_sec,mean_tap_count_per_100ms_bin,24,0.4380120714381353,0.0322923497095447,0.3521739130434782,0.0914583449085708,0.9217598446790702,0.3521739130434782
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_6,24,-0.2245341917639752,0.2915119512221406,-0.3495652173913043,0.0940531188359595,0.9217598446790702,0.3495652173913043
istc_mean_max_unique_per_sec,rhythm_tempo_Std,24,-0.2973395968039654,0.1582300642480905,-0.348695652173913,0.0949301188456824,0.9217598446790702,0.348695652173913
istc_mean_max_unique_per_sec,pitch_min,24,0.2920052445046781,0.1661882720657778,0.3464104454750348,0.0972638851101376,0.9217598446790702,0.3464104454750348
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_3,24,0.28899418807332,0.1708019158266031,0.3443478260869564,0.0994067009930167,0.9217598446790702,0.3443478260869564
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_12,24,-0.2716026403915229,0.1991978613116287,-0.3434782608695652,0.1003204906946984,0.9217598446790702,0.3434782608695652
istc_mean_max_unique_per_sec,tonal_keyclarity_Std,24,-0.2484090076034822,0.2418223197507618,-0.3356521739130434,0.1088266658944697,0.9217598446790702,0.3356521739130434
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_6,24,-0.3427095375441487,0.1011334804029381,-0.3165217391304347,0.1318342245505259,0.9217598446790702,0.3165217391304347
istc_mean_max_unique_per_sec,pitch_max,24,-0.4178666639463656,0.0421655414027078,-0.3054791022051393,0.146610123229807,0.9217598446790702,0.3054791022051393
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_7,24,-0.4706149526600588,0.0202900010956681,-0.3017391304347826,0.1518714531157409,0.9217598446790702,0.3017391304347826
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_13,24,-0.2204770290172053,0.3005468068621361,-0.2982608695652174,0.1568832996106677,0.9217598446790702,0.2982608695652174
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_2,24,-0.1992948484554866,0.350492933741148,-0.2843478260869565,0.1780949809531224,0.9217598446790702,0.2843478260869565
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_3,24,0.1859214808763603,0.3843975961640475,0.2791304347826086,0.1865379607570456,0.9217598446790702,0.2791304347826086
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_13,24,-0.2406272327071797,0.2573659598923569,-0.2773913043478261,0.1894123670698224,0.9217598446790702,0.2773913043478261
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_12,24,-0.1800172243362663,0.3999392290643661,-0.268695652173913,0.2042392593734892,0.9217598446790702,0.268695652173913
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_7,24,-0.2215712187489123,0.298093267325293,-0.2652173913043478,0.2103838978731484,0.9232847632375883,0.2652173913043478
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_26,24,0.112437394352069,0.6009137488234286,0.2643478260869565,0.2119392787870507,0.9248259437980396,0.2643478260869565
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_9,24,-0.1554881830748894,0.4681454475863959,-0.2565217391304347,0.2262855334054808,0.932245835830262,0.2565217391304347
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_5,24,-0.2713068342092238,0.1997069572384008,-0.2495652173913043,0.2395664805456787,0.932245835830262,0.2495652173913043
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_13,24,-0.2480263874877872,0.242571886095137,-0.2495652173913043,0.2395664805456787,0.932245835830262,0.2495652173913043
istc_mean_max_unique_per_sec,spectral_mfcc_Std_4,24,-0.1984084296995941,0.352683925235181,-0.2443478260869565,0.2498558021717399,0.9361099440551124,0.2443478260869565
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_3,24,0.1826938051300185,0.3928506892063469,0.2408695652173912,0.2568724180084134,0.9414145825752728,0.2408695652173912
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_3,24,0.2820672157905884,0.1817523900533147,0.2408695652173912,0.2568724180084134,0.9414145825752728,0.2408695652173912
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_23,24,0.1520180393199039,0.4782533858897982,0.24,0.2586462405460084,0.9414232831248076,0.24
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_2,24,-0.2122011702073827,0.3195075976682766,-0.2382608695652173,0.2622175095216363,0.943086000987085,0.2382608695652173
istc_mean_max_unique_per_sec,tonal_mode_Std,24,-0.2831576402484717,0.1799972705023863,-0.237391304347826,0.2640149612138324,0.943086000987085,0.237391304347826
istc_mean_max_unique_per_sec,simple_roughness_Mean,24,0.1527582458522583,0.4760880325460007,0.2330434782608695,0.2731204759298301,0.9500257587592182,0.2330434782608695
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_17,24,0.1902779323527113,0.3731540252321147,0.2260869565217391,0.2880995376657831,0.9500257587592182,0.2260869565217391
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_5,24,0.187582270685515,0.3800887378552033,0.2165217391304347,0.3095198975623004,0.9629703993813512,0.2165217391304347
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_5,24,-0.1253725224833812,0.5594085346966291,-0.2156521739130434,0.3115144491285109,0.9629703993813512,0.2156521739130434
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_19,24,-0.0905583351908737,0.6738816864001553,-0.2095652173913043,0.3256961715714216,0.9695905384345964,0.2095652173913043
