wtc_code,window_center_s,rms_mean,spectral_centroid_hz_mean,spectral_bandwidth_hz_mean,spectral_rolloff_hz_mean,zero_crossing_rate_mean,onset_strength_mean,n_note_onsets,istc_mean_max_unique_per_sec
wtc1f03,0.5,0.026795759132961672,1330.0486872953213,2787.8086951976165,1602.5,0.022814648885184415,0.0016462475345100937,5.5,1.0
wtc1f03,0.75,0.030646116757596178,1174.9515651431302,2365.053880650449,1519.125,0.02402844342571369,0.001991060431522052,5.5,1.5
wtc1f03,1.0,0.030049860658822293,1167.7590389705892,2348.5167415069236,1473.75,0.024226401333611168,0.0016708135615773289,5.0,1.5
wtc1f03,1.25,0.02532688376069965,1273.6114937433053,2653.123898045521,1507.375,0.024765576161700355,0.0018171097627684605,3.5,1.5
wtc1f03,1.5,0.025342122229288215,1256.1056359896306,2725.4895938084474,1452.5,0.02321577411960825,0.0021287697632281716,3.5,1.0
wtc1f03,1.75,0.025584235208851357,1211.7613227308764,2666.3508303590793,1463.125,0.021548760158366327,0.0019066456298161153,3.5,0.5
wtc1f03,2.0,0.027513232548760994,1156.8758843719334,2553.499521114263,1436.625,0.020670973119399878,0.001828296302327438,4.0,1.0
wtc1f03,2.25,0.026460694362836202,1203.4131634532873,2676.2883380120784,1456.125,0.02136382579704105,0.0020930387180580394,4.0,1.0
wtc1f03,2.5,0.020552327338403443,1351.6092013206546,2984.027769051394,1553.0,0.023249635340695976,0.0017369700833277958,4.0,2.0
wtc1f03,2.75,0.018713050363234812,1453.1399697356965,3247.279883193584,1595.125,0.023846113773702854,0.002250606336911788,4.0,2.0
wtc1f03,3.0,0.015497462726955461,1612.3181502530956,3631.3673154892003,1662.0,0.024559804125859553,0.002128433796848775,2.5,2.0
wtc1f03,3.25,0.01411944001795732,1642.1595834435789,3682.118003693756,1661.625,0.02478901854553032,0.0015011542041744493,3.0,2.0
wtc1f03,3.5,0.01512625605379604,1591.5498983841276,3608.0089716622524,1715.5,0.022728693477807878,0.0017302759023571216,3.0,1.5
wtc1f03,3.75,0.014660565926371515,1598.0189997767866,3641.5819679161364,1702.0,0.0220228172535945,0.0012315029201211717,3.0,4.0
wtc1f03,4.0,0.0153874503504014,1593.5174182776464,3603.2025290377933,1718.625,0.021689414461346115,0.0009878880807096854,4.0,4.0
wtc1f03,4.25,0.01704520726787203,1468.4772245281374,3378.745498815152,1634.5,0.02017347364034174,0.0012511110342020714,5.0,4.5
wtc1f03,4.5,0.018703900670217526,1384.5326728328778,3194.907748857573,1463.875,0.02130391748280892,0.001052951032324882,5.0,4.5
wtc1f03,4.75,0.023808851888500022,1262.3147073034474,2819.5802589805235,1396.0,0.021681600333402794,0.0012268573954200596,6.5,4.0
wtc1f03,5.0,0.033036154682659524,1060.8681893381963,2291.2402056348906,1268.5,0.02120493852886018,0.0018673560904134694,8.5,5.5
wtc1f03,5.25,0.04098817399330804,1011.3187912758577,1993.1371806137176,1258.875,0.023843509064388417,0.0018696053225526201,9.5,5.5
wtc1f03,5.5,0.04690225726781893,1004.6413640812764,1804.3047928475075,1319.25,0.02515888726818087,0.0022927131789032846,11.0,5.5
wtc1f03,5.75,0.053196929979652405,984.2142180326821,1691.4696027836126,1329.75,0.025385496978537193,0.0025897865222413753,11.5,5.5
wtc1f03,6.0,0.053957435264958505,984.7038563023073,1687.0689054101576,1321.875,0.026505521983746616,0.0020305793104305326,10.0,5.5
wtc1f03,6.25,0.052577497244455124,990.8265099811488,1688.543266277131,1397.25,0.025531360700145864,0.002030541272614779,9.5,6.0
wtc1f03,6.5,0.05074558785698636,982.2086863133334,1713.93627619777,1387.875,0.024846322150448012,0.0018374269443871775,8.5,4.5
wtc1f03,6.75,0.046102865863355685,990.4777536171218,1755.8849922939403,1383.25,0.02608616378412169,0.0016725272808334512,8.5,4.5
wtc1f03,7.0,0.04375556668619597,987.2618913924935,1778.5712081874897,1362.625,0.02602104605126068,0.0018258256695819499,8.5,5.5
wtc1f03,7.25,0.04137947035148036,974.8630050081626,1813.155913449501,1314.25,0.025286518024588454,0.0018002515015478654,8.5,6.5
wtc1f03,7.5,0.03872563005071043,983.2185437214209,1834.2782756849215,1356.875,0.02520056261721192,0.0014191139406967515,9.0,6.5
wtc1f03,7.75,0.03609804267609536,992.4829037267024,1872.9906711148035,1364.875,0.025164096686809752,0.0013877822734676046,8.5,6.5
wtc1f03,8.0,0.03222548131935757,1008.2724273186642,1940.23402459694,1374.5,0.02495832465096895,0.0015535079764233363,9.0,6.5
wtc1f03,8.25,0.03212770245025309,1011.8261484884347,1952.170228854718,1365.625,0.025593873723692435,0.0016345912336391314,9.5,5.5
wtc1f03,8.5,0.034045171382874925,1008.5934042043407,1959.8898919173662,1339.75,0.024932277557824546,0.0022020227953267234,9.0,6.0
wtc1f03,8.75,0.03639682075195061,1007.402595833827,1951.1552709481837,1320.125,0.02524223796624297,0.0020311092509893366,9.0,6.0
